ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Children_RoundColonies_Count,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,10,740.0,131.0,1.0367255756846316,0.78411282301707164,1.0,0.83333333333333337,0.92493409022197115,4.4658260088912254,3.6055512754639891,1.4142135623730951,1.0828427124746189,1.0,2.0,2.7715733690672488,-26.56505117707799,11.655999999999999,0.95238095238095233,1,739.5,131.0,1
1,2,185,717.0,152.0,1.0067584795119457,0.46415433833130693,1.0,0.8258928571428571,0.9735718566521212,16.362080620011696,15.811388300841896,7.0,2.9212771663132595,2.8284271247461903,13.0,14.492783914873158,-78.263156660954536,48.866000000000014,0.95360824742268047,1,717.35675675675679,151.69189189189188,2
1,3,336,824.0,166.0,1.0032648449734614,0.35947877699985092,1.0,0.76363636363636367,0.92418421644143067,21.465465892104788,21.377558326431949,9.8488578017961039,3.7473602142351572,3.1622776601683795,19.0,20.030569500377652,-85.38447829652776,67.592000000000027,0.94647887323943658,1,824.34523809523807,166.16666666666666,3
1,4,74,950.0,180.0,1.0188639037538998,0.59223566191922283,1.0,0.82222222222222219,1.0074160482849526,10.866499082102576,10.295630140987001,4.2426406871192848,2.0118532949071763,2.0,7.7781745930520225,8.7558425124019283,-57.953775878179684,30.382000000000005,0.9426751592356688,1,949.90540540540542,179.6081081081081,4
1,5,127,622.0,182.0,1.0050357927536013,0.40100342686997265,1.0,0.75147928994082835,0.92880085392276079,13.359520766975404,13.038404810405298,6.324555320336759,2.4392055919402016,2.0,11.313708498984761,12.238343738916976,58.053460999138707,41.452000000000012,0.9169675090252708,1,621.98425196850394,182.01574803149606,5
1,6,4,881.0,193.0,0.78539816339744828,0.0,1.0,1.0,0.78539816339744828,2.0900000000000003,1.4142135623730951,1.0,1.0,1.0,1.0,2.0900000000000003,0.0,8.0,1.0,1,881.5,192.5,6
1,7,67,810.0,195.0,1.0094443599874905,0.49410567593559473,1.0,0.74444444444444446,0.88776096439061669,9.9802243259800072,9.4868329805051381,4.1231056256176606,1.9208935202146973,2.0,8.0,8.6768255166711743,-80.961389037721972,30.796000000000006,0.90540540540540537,1,809.56716417910445,195.49253731343285,7
1,8,14,652.0,212.0,0.97316098963240683,0.2014110962450322,1.0,0.875,0.94338916391723437,4.2933121608570275,3.6055512754639891,2.0,1.2020305089104422,1.0,3.0,4.2053284540289475,0.0,13.655999999999999,0.93333333333333335,1,652.5,212.28571428571428,8
1,9,33,680.0,212.0,1.003575247327569,0.38632600162792902,1.0,0.7857142857142857,0.8203074402610091,6.8321730191927559,6.4031242374328485,3.0,1.4801141468669945,1.0,5.0,6.3017388496276965,-23.190177036722272,22.484000000000002,0.89189189189189189,1,679.93939393939399,212.42424242424244,9
1,10,175,508.0,218.0,1.0050001427378012,0.40729458063777896,1.0,0.77777777777777779,0.94343805428396055,15.686448642063874,15.264337522473747,7.0710678118654755,2.8069983942557131,2.2360679774997898,13.435028842544403,14.3263840325488,42.634278337867343,48.280000000000015,0.93333333333333335,1,507.95428571428573,217.77142857142857,10
1,11,47,795.0,219.0,1.0046027960970223,0.41054422034739302,1.0,0.734375,0.86436377084792826,8.1813972937572608,7.6157731058639087,3.6055512754639891,1.666123021153004,1.4142135623730951,6.7082039324993694,7.4601309499133368,-54.041722691524242,26.140000000000004,0.87850467289719625,1,795.42553191489367,218.53191489361703,11
1,12,45,576.0,228.0,1.4490800813792726,0.75875708864013525,1.0,0.45454545454545453,0.56795448760297451,10.880638594825978,10.04987562112089,2.2360679774997898,1.3390662313107535,1.0,7.3104923889620572,7.0873616811187699,-82.742111898000957,31.554000000000006,0.73770491803278693,0,575.51111111111106,229.77777777777777,12
1,13,20,578.0,238.0,2.075807345859455,0.93239135581410415,1.0,0.625,0.44911466529067939,9.7598177839668541,7.6157731058639087,2.0,1.0914213562373096,1.0,3.0,3.5276896091429575,78.398870573912987,23.655999999999999,0.93023255813953487,0,577.95000000000005,236.19999999999999,13
1,14,103,583.0,232.0,1.0390603363138227,0.60793763893398467,1.0,0.72027972027972031,0.81440749885353414,13.001068050308373,12.369316876852981,5.0,2.1865159577926825,2.0,10.0,10.322650125361369,83.554382827842346,39.866000000000007,0.89177489177489178,1,582.89320388349518,232.88349514563106,14
1,15,163,844.0,233.0,1.0002962709734076,0.32578466847799892,1.0,0.83163265306122447,0.94227660441363226,14.867116364489055,14.422205101855956,7.0,2.7766093287042475,2.2360679774997898,13.0,14.056025906308202,-46.046154138135904,46.624000000000017,0.94767441860465118,1,843.53374233128829,233.40490797546013,15
1,16,30,553.0,234.0,1.0015862800778121,0.28569896508576298,1.0,0.83333333333333337,0.8984658703973657,6.3966925837828708,5.8309518948453007,3.0,1.4652472443079383,1.0,5.0,6.1300746954363321,80.587644990879852,20.484000000000002,0.92307692307692313,1,553.20000000000005,234.33333333333334,16
1,17,216,567.0,235.0,1.0497001773745469,0.62937456784453194,1.0,0.70588235294117652,0.77240882171231884,19.031109717407826,18.601075237738275,7.0710678118654755,2.9089178865441059,2.8284271247461903,14.310835055998654,14.789115076026693,54.895028317267993,59.280000000000022,0.90756302521008403,1,567.45833333333337,234.34722222222223,17
1,18,6,1003.0,239.0,1.6580627893946129,0.95652813983391127,1.0,0.5,1.0475139003945169,4.9325370445264074,3.6055512754639891,1.0,1.0,1.0,0.70710678118654757,1.4385253413444463,-50.309827638077572,8.484,1.3333333333333333,1,1004.0,237.5,18
1,19,72,541.0,238.0,1.0007025724735235,0.24463576488001887,1.0,0.71999999999999997,0.84120259735291847,9.7967095128501072,9.2195444572928871,4.4721359549995796,1.9636564484474606,2.0,8.4852813742385695,9.4990369707758067,16.304409796140401,32.796000000000006,0.89440993788819878,1,541.31944444444446,238.26388888888889,19
1,20,59,603.0,238.0,1.1061250077485285,0.68703422358273658,1.0,0.65555555555555556,0.76115716229269792,10.510170422770626,9.8488578017961039,3.6055512754639891,1.7426818052240693,1.4142135623730951,7.0,7.6369531981889756,-31.356328425617502,31.210000000000008,0.93650793650793651,1,603.59322033898309,238.08474576271186,20
1,21,97,994.0,241.0,1.0101584537869257,0.48806685918713261,1.0,0.73484848484848486,0.88855955955541643,11.971960007420634,11.401754250991379,5.0,2.2172774353418196,2.0,9.8386991009990741,10.449201456981706,-15.659666761725585,37.038000000000011,0.91509433962264153,1,994.21649484536078,240.50515463917526,21
1,22,23,606.0,242.0,1.6246322821062684,0.9284561078436192,1.0,0.47916666666666669,0.65739089415812668,9.2356905657845729,8.0622577482985491,2.0,1.1695432581135508,1.0,2.7999999999999998,3.4305245741465717,-34.60773196141151,20.968,1.1794871794871795,0,606.95652173913038,241.08695652173913,22
1,23,176,929.0,240.0,1.1461487241187294,0.73288283304627388,1.0,0.60899653979238755,0.7770584443511398,18.801078928267117,18.601075237738275,6.0,2.5520253782150166,2.2360679774997898,11.750078996995875,12.791405663895773,51.671835341893079,53.350000000000023,0.92388451443569553,1,927.88068181818187,240.0,23
1,24,167,919.0,245.0,1.2208052852801292,0.8109597249813546,1.0,0.52187499999999998,0.66495734517095895,19.729151168954296,19.646882704388499,5.3851648071345037,2.3518918638575874,2.2360679774997898,10.6,11.543565369821547,62.143525387876103,56.178000000000026,0.88829787234042556,0,919.95209580838321,246.07185628742516,24
1,25,50,551.0,242.0,1.1979772434080886,0.80311732888761667,1.0,0.61728395061728392,0.727808560655957,10.695172380212435,10.0,3.1622776601683795,1.5842535046551225,1.4142135623730951,5.5999999999999996,6.3724073334284652,-39.017937775518703,29.382000000000005,0.91743119266055051,1,551.27999999999997,242.22,25
1,26,46,811.0,245.0,1.0254006596176926,0.62460646780247475,1.0,0.8214285714285714,0.9919577256471358,8.721244545331956,8.0622577482985491,3.1622776601683795,1.6613936581153448,1.4142135623730951,6.0,6.8107657936648911,-30.329134719301631,24.140000000000004,0.92000000000000004,1,811.54347826086962,244.95652173913044,26
1,27,24,553.0,246.0,1.6885151487393053,0.93555386207649138,1.0,0.5,0.67485604091975049,9.6687981879403626,8.6023252670426267,2.0,1.1624789556921529,1.0,2.7999999999999998,3.4148652749908126,-36.170684621599619,21.140000000000001,1.2,0,554.08333333333337,244.95833333333334,27
1,28,60,570.0,246.0,1.0892890749905275,0.59353889429607076,1.0,0.66666666666666663,0.78620318304333847,10.129170660666631,9.4868329805051381,3.6055512754639891,1.7223902459455529,1.4142135623730951,7.8889349165554066,8.1520102955511362,81.02781372011863,30.968000000000011,0.90225563909774431,1,569.9666666666667,246.88333333333333,28
1,29,31,564.0,249.0,1.0456860378300958,0.58307194339384716,1.0,0.63265306122448983,0.80721740612051252,7.1377860052789064,6.7082039324993694,2.8284271247461903,1.4391700509267911,1.0,4.919349550499537,5.7988838510475409,55.167363281536105,21.968000000000004,0.87323943661971826,1,564.16129032258061,248.48387096774192,29
1,30,86,741.0,248.0,1.0003412330311281,0.36720780077053683,1.0,0.78181818181818186,0.9461886025471794,10.908874531597494,10.440306508910551,5.0,2.1322453657791263,2.0,9.0,10.146768895769451,-75.141989113449895,33.796000000000006,0.92972972972972978,1,741.47674418604652,248.1046511627907,30
1,31,121,553.0,252.0,1.1665290366197985,0.78524234072104759,1.0,0.62051282051282053,0.76119650403092298,16.189851640241052,15.231546211727817,5.0,2.1732736099923735,2.0,9.8994949366116654,10.024570838810153,-28.873253667379686,44.694000000000017,0.8996282527881041,1,553.61983471074382,251.35537190082644,31
1,32,43,998.0,249.0,1.1307157278620181,0.74747486768237059,1.0,0.59722222222222221,0.7298292013799923,9.3549412843653741,8.5440037453175304,3.1622776601683795,1.5478097903084591,1.4142135623730951,5.6568542494923806,6.2143947772513854,-36.115212475174019,27.210000000000001,0.86868686868686873,1,997.39534883720933,249.41860465116278,32
1,33,195,606.0,250.0,1.071184640403493,0.59490027186430461,1.0,0.77380952380952384,0.80894535870530626,18.035124968980821,18.027756377319946,7.0,2.767814572058064,2.2360679774997898,13.0,14.4966247728286,-75.81834672214201,55.038000000000011,0.91764705882352937,1,606.8051282051282,250.15897435897435,33
