Accession
SM00015
PF00612
PS50096
SM00255
PF13676
PF01582
PS50104
SM00223
PS00495
PR00005
SM00225
PF00651
PS50097
SM00185
PF00514
PS50176
PS50006
PF00498
SM00240
PF12763
PS50031
SM00027
PS51745
SM00666
PF00564
PF02985
SM00005
PS50017
PF00531
SM00232
PF01398
PF03836
PS50053
PF14560
SM00213
PF00240
SM00088
PF01399
PS50078
PF00659 
PS01208
SM00214
SM00215
PF00093
PS50184
SM00166
PS50033
PF00789
SM00308
PF01477
PS50095
PS51550
PF01404
SM00615
PS50189
cd00201
SM00456
PF00397
PS50020
PS01159
PS50280
SM00317
PF00856
PF01436
SM00557
PF00020
SM00208
PS00652
PS50050
PF00515
PF14604
SM00326
PF00018
PF07653
PS50002
PR00452
SM00228
PF13180
PS50106
PF00595
PF00439
PS50014
PR00503
SM00297
PR00683
PF13855
PF00560
PS51450
PF13516
PF01403
PS51004
SM00630
SM00454
PF00536 (
PF07647
PS50105
SM00320
PS50082
PF00400
cd00014
SM00033
PF00307
PS50021
SM00256
PF12937
PF15966
PF00646
PS50181
PF13013
PF01335
PS50168
SM00031
PS50151
PF02151
PF00435
cd00121
PF00917
PS50144
SM00061
SM00248
PF00023
PF13606
PS50088
PR01415
PF00057
cd00112
SM00192
PR00261
PS50068
SM00280
PF00050
PF07648
PS51465
PS00282
PF01590
PF13492
PF13185
SM00065
PF02170
SM00949
PS50821
PS50953
PF02173
PF02201
PF02259
SM01343
PF02260
PS51190
cd00072
SM00444
PF02213
PS50829
PF02020
PS51363
SM00515
PF02491
SM00842
PF03549
PS51148
PF08517
SM00536
SM00449
PF00622
PF02854
SM00543
SM00546
PF02845
PS51140
PF03378
PS51159
PF03370
PS51022
SM00569
PF03114
PS51021
SM00721
PF13417
PF02798
PS50404
PF13409
PF03920
PF14719
PS01179
SM00462
PF00640
PF05773
PS50908
SM00591
PF07533
SM00592
PF16045
SM00667
PS50896
PF08513
PF01344
SM00612
SM01010
PF04739
PF04825
PF04433
PS50934
PF05130
SSF49599
G3DSA:2.60.210.10
G3DSA:2.60.120.40
SSF49842
SSF49879
PF07646
PS51041
PF07546
PF06470
SM00968
PF06957
PF06203
PS51017
PF06714
PF09034
PD182470
PF08436
PF08416
PS50293
MF_02039
TIGR02223
PF08447
PF08563
PF09201
PF09289
G3DSA:2.130.10.10
G3DSA:1.25.40.10
SSF48452
SSF49879
G3DSA:2.10.250.10
SSF63887
SSF46934
PF13181
PF13174
SM00028
PS50005
PF13176
PF09732
PS50294
G3DSA:2.130.10.10
SSF117281
G3DSA:2.120.10.80
PF12539
PD027292
PF12189
PF12470
PF12753
PTHR28290
PF11538
PF12814
PTHR10545:SF36
PF13954
PF13867
PTHR23058
PTHR23350
PF13949
SM01104
PTHR13469:SF3
PTHR21696
PTHR23171:SF4
cd08313
PTHR31266
cd08316
cd08315
cd12238
cd08312
SSF51045
SSF50044
SSF57424
SSF101690
SSF81383
SSF50156
SSF102031
SSF75553
SSF50978
G3DSA:2.60.60.20
SSF49723
SSF47370
G3DSA:1.20.920.10
SSF141729
G3DSA:4.10.820.10
G3DSA:3.30.1120.30
G3DSA:1.10.287.650
SSF101288
G3DSA:1.10.2000.10
SSF63501
G3DSA:3.30.70.680
SSF55044
SSF140566
G3DSA:1.20.58.300
