filename,ID,RawCellIntDen,CellVolume_um3,RawMitoIntden,MitoVolume_um3,MeanBackground,CellIntDenCorr,MitoIntDenCorr,FractionInMito,MitoMeanCorr,MitoThresh,Temp
GTY029 25C 1 (cropped) c0 m-80.csv,120,63841420,81.68,9736489.11,9.3775,683.92,16925668.257327624,4350195.501198455,0.2570176512419311,552.3623335939216,-80,25
GTY029 25C 1 (cropped) c0 m-80.csv,121,59894404,75.58,7051097.19,6.7928,683.92,16482399.63282103,3149416.014221047,0.19107751810298823,552.0565375298848,-80,25
GTY029 25C 1 (cropped) c0 m-80.csv,122,211000000,260.98,36602303.98,33.8325,683.92,61097050.81044763,17169429.704363815,0.2810189604344672,604.2603989946352,-80,25
GTY029 25C 1 (cropped) c0 m-80.csv,123,53428940,67.31,9284615.94,9.4822,683.92,14767098.05828505,3838184.240999412,0.25991459024991076,481.9689497962496,-80,25
GTY029 25C 1 (cropped) c0 m-80.csv,124,127000000,166.49,12852837.49,12.7485,683.92,31370672.041656166,5530292.667626608,0.1762886258950111,516.5250405414755,-80,25
GTY029 25C 10 (cropped)_01_c5m-80.csv,95,63080188,72.62,9976876.97,10.362,685.28,21285417.192911737,4013266.186427313,0.18854533834383908,461.16541673219467,-80,25
GTY029 25C 10 (cropped)_01_c5m-80.csv,96,62854964,72.12,10505393.62,9.8572,685.28,21347956.69337365,4832308.866493658,0.22635931559640057,583.7185171584222,-80,25
GTY029 25C 10 (cropped)_01_c5m-80.csv,97,57679980,63.66,14933861,13.178600000000001,685.28,21041931.12118922,7349220.865625262,0.3492655129083945,664.0096280864432,-80,25
GTY029 25C 10 (cropped)_01_c5m-80.csv,98,102000000,116.57,23249922.05,22.5579,685.28,34910817.502309576,10267241.515860422,0.29409914320056174,541.9478086583858,-80,25
GTY029 25C 10 (cropped)_01_c5m-80.csv,99,79317280,90.42,14278666.91,13.031600000000001,685.28,27278128.576467633,6778629.244761066,0.24850052399154945,619.3647627104117,-80,25
GTY029 25C 10 (cropped)_01_c5m-80.csv,100,108000000,124.78,15483393.94,14.9302,685.28,36185740.82472496,6890660.710807089,0.19042475167729175,549.5378299257882,-80,25
GTY029 25C 10 (cropped)_01_c5m-80.csv,101,75370792,91.21,11955847.56,12.639700000000001,685.28,22876974.245737806,4681358.926423112,0.20463190962831515,440.99892194371705,-80,25
GTY029 25C 10 (cropped)_01_c5m-80.csv,102,98136920,113.13,22081233.98,21.5794,685.28,33027550.385487534,9661706.616264382,0.2925347627509724,533.1100062089772,-80,25
GTY029 25C 10 (cropped)_01_c5m-80.csv,103,106000000,121.69,29108605.02,29.4355,685.28,35964119.25757958,12167679.984306712,0.338328318209609,492.1967201954783,-80,25
GTY029 25C 10 (cropped)_02_c50m-80.csv,9,46255016,56.31,12776449.22,14.5763,671.98,14476067.650289744,4550210.810660956,0.3143264400653642,371.69487539732313,-80,25
GTY029 25C 10 (cropped)_03_c45m-50.csv,13,43891100,56.27,5056290.03,5.09,664.5,12488215.142353237,2215687.8632073575,0.17742230078123405,518.3142512222005,-50,25
GTY029 25C 2 (cropped)_01_c10m-80.csv,134,40496944,53.32,1177868.5999999999,1.226,682.32,9942394.239354998,475320.2502897454,0.04780742332750037,461.63443884176183,-80,25
GTY029 25C 2 (cropped)_01_c10m-80.csv,135,51642972,69.53,5583437.05,6.2754,682.32,11799426.522549756,1987375.1301209368,0.16842980684890793,377.08633193660955,-80,25
GTY029 25C 2 (cropped)_01_c10m-80.csv,136,89914424,114.84,13322227.29,13.1606,682.32,24106387.718820862,5780663.006805238,0.23979797696077185,523.0031641568772,-80,25
GTY029 25C 2 (cropped)_01_c10m-80.csv,137,103000000,126.63,15474242.04,14.231,682.32,30435809.523809522,7319294.597319223,0.24048299394150952,612.4013826876538,-80,25
GTY029 25C 2 (cropped)_02_c45m-80.csv,32,129000000,156.97,22881082.25,21.5469,694.59,37432189.21642731,10311785.810090702,0.2754791003665188,569.8380446409925,-80,25
GTY029 25C 2 (cropped)_03_c45m-80.csv,19,98988184,123.28,9916427.8,9.652,688.1,27745244.55261612,4338581.827042918,0.1563720881542502,535.220615567758,-80,25
GTY029 25C 3 (cropped)_01 c2m-80.csv,159,114000000,146.7,13594925.17,13.7753,685.71,29517210.884353757,5661893.371058201,0.19181667919916554,489.39888328522784,-80,25
GTY029 25C 3 (cropped)_01 c2m-80.csv,160,80582664,103.83,18695899.62,21.1535,685.71,20788199.147392295,6513849.997928949,0.31334364038676515,366.65521982338623,-80,25
GTY029 25C 3 (cropped)_01 c2m-80.csv,161,78063344,97.9,10314753.66,10.7349,685.71,21683895.776266053,4132652.140725624,0.19058623890126733,458.3879592694857,-80,25
GTY029 25C 3 (cropped)_01_c2m-90.csv,159,216000000,272.21,26137720.75,24.9444,685.68,59244349.71025452,11773165.285147393,0.1987221624125548,561.9821645349258,-90,25
GTY029 25C 3 (cropped)_01_c2m-90.csv,161,114000000,146.7,13594925.17,13.7753,685.68,29520907.029478475,5662240.443368608,0.19180441975290619,489.4288832852279,-90,25
GTY029 25C 3 (cropped)_01_c2m-90.csv,162,80582664,103.83,18695899.62,21.1535,685.68,20790815.171579756,6514382.965930967,0.3133298484051687,366.6852198233863,-90,25
GTY029 25C 3 (cropped)_01_c2m-90.csv,163,78063344,97.9,10314753.66,10.7349,685.68,21686362.392542206,4132922.609357522,0.19057703337000428,458.4179592694858,-90,25
GTY029 25C 3 (cropped)_02_c45m-80.csv,22,114000000,147.41,12423035.99,12.0521,685.03,29192515.075165883,5489257.487438483,0.18803647007818805,542.3170144865212,-80,25
GTY029 25C 3 (cropped)_03_c45m-80.csv,22,90162816,116.1,24632223.75,29.6524,674.78,24367940.716553293,7827951.916624676,0.32123978007329523,314.33348892922675,-80,25
GTY029 25C 4 (cropped)_01_c0m-80.csv,164,57790220,78.21,29431176.79,40.9304,644.52,15455535.19274377,7275754.426684305,0.47075396199157205,211.65785811653438,-80,25
GTY029 25C 4 (cropped)_01_c0m-80.csv,165,93700416,124.34,18830709.47,22.6387,644.52,26395791.15747039,6576493.526437389,0.2491493241177636,345.89578208682485,-80,25
GTY029 25C 4 (cropped)_01_c0m-80.csv,166,65520380,89.71,23149321.09,29.7966,644.52,16960802.27261275,7020569.404436886,0.41392908729165867,280.5485186183323,-80,25
GTY029 25C 4 (cropped)_01_c0m-80.csv,167,85307104,117.34,39961825.46,53.5822,644.52,21791544.413202316,10958046.55347443,0.502857729846607,243.50896438037262,-80,25
GTY029 25C 4 (cropped)_01_c0m-80.csv,168,60848996,83.45,25449536.63,35.441,644.52,15677925.201310158,6265499.240229275,0.39963829140514623,210.4999843497926,-80,25
GTY029 25C 4 (cropped)_01_c0m-80.csv,169,40882248,51.88,19481234.26,23.7209,644.52,12799861.504661124,6641228.827901237,0.5188516161274718,333.3647191034911,-80,25
GTY029 25C 4 (cropped)_02_c50m-80.csv,8,120000000,150.66,36472839.45,43.0956,643.68,38554775.51020409,13175807.613265313,0.3417425581891442,364.0379557336481,-80,25
GTY029 25C 4 (cropped)_03_c50m-80.csv,6,77629648,105.57,37260385.95,50.4039,634.54,21369979.06575965,10399471.608856138,0.4866392979073544,245.66850669620817,-80,25
