
"Name","Item Name","Population","Voxel Count","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Number of contained Mito","Compartment Whole cells ID"
"Whole cells prelim 1","GTY029 25C 9 (cropped)","Whole cells prelim","8","0.00953","N/A","N/A","N/A","N/A","N/A","714.17","766.73","745.9","5967.22","15.33","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 2","GTY029 25C 9 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","734.37","734.37","734.37","734.37","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 3","GTY029 25C 9 (cropped)","Whole cells prelim","4","0.00476","N/A","N/A","N/A","N/A","N/A","690.46","770.77","735.1","2940.41","29.18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 4","GTY029 25C 9 (cropped)","Whole cells prelim","5","0.00595","N/A","N/A","N/A","N/A","N/A","736.8","784.83","761.42","3807.12","19.62","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 5","GTY029 25C 9 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","694.47","694.47","694.47","694.47","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 6","GTY029 25C 9 (cropped)","Whole cells prelim","4","0.00476","N/A","N/A","N/A","N/A","N/A","720.76","737.94","726.35","2905.39","6.79","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 7","GTY029 25C 9 (cropped)","Whole cells prelim","3","0.00357","N/A","N/A","N/A","N/A","N/A","719.49","760.75","741.4","2224.2","16.94","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 8","GTY029 25C 9 (cropped)","Whole cells prelim","7","0.00833","N/A","N/A","N/A","N/A","N/A","711.24","746.72","729.88","5109.17","13.53","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 9","GTY029 25C 9 (cropped)","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","671.03","708.5","689.76","1379.53","18.73","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 10","GTY029 25C 9 (cropped)","Whole cells prelim","21","0.025","N/A","N/A","N/A","N/A","N/A","697.88","844.91","758.37","15925.83","35.44","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 11","GTY029 25C 9 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","653.83","653.83","653.83","653.83","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 12","GTY029 25C 9 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","663.82","663.82","663.82","663.82","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 13","GTY029 25C 9 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","675.26","675.26","675.26","675.26","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 14","GTY029 25C 9 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","694.68","694.68","694.68","694.68","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 15","GTY029 25C 9 (cropped)","Whole cells prelim","3","0.00357","N/A","N/A","N/A","N/A","N/A","719.77","756.72","743.04","2229.11","16.53","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 16","GTY029 25C 9 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","673.48","673.48","673.48","673.48","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 17","GTY029 25C 9 (cropped)","Whole cells prelim","7","0.00833","N/A","N/A","N/A","N/A","N/A","681.12","738.77","710.75","4975.23","21.72","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 18","GTY029 25C 9 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","738.24","738.24","738.24","738.24","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 19","GTY029 25C 9 (cropped)","Whole cells prelim","5","0.00595","N/A","N/A","N/A","N/A","N/A","718.33","739.61","731.52","3657.59","7.39","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 20","GTY029 25C 9 (cropped)","Whole cells prelim","4","0.00476","N/A","N/A","N/A","N/A","N/A","732.15","758.42","745.19","2980.78","12.77","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 21","GTY029 25C 9 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","745.44","745.44","745.44","745.44","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 22","GTY029 25C 9 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","678.66","678.66","678.66","678.66","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 23","GTY029 25C 9 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","721.67","721.67","721.67","721.67","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 24","GTY029 25C 9 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","724.62","724.62","724.62","724.62","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 25","GTY029 25C 9 (cropped)","Whole cells prelim","4","0.00476","N/A","N/A","N/A","N/A","N/A","657.57","675.3","665.17","2660.69","6.55","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
