
"Name","Item Name","Population","Voxel Count","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Number of contained Mito","Compartment Whole cells ID"
"Mito 18","GTY029 25C (cropped)","Mito","308","0.367","712","977","837.94","258087","46.18","354","913","545.09","167888","126.99","1945","2315","2098.07","146865","94.33","2391","2956","2642.19","184953","132.46","604.96","1746.77","1104.06","340050.78","258.8","589.5","11114.08","2315.83","713276.19","2437.29","N/A","N/A"
"Mito 19","GTY029 25C (cropped)","Mito","37","0.0441","725","914","829.81","30703","49.75","344","434","385.35","14258","21.38","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","607.16","1089.63","813.26","30090.45","153.6","586.78","799.15","682.31","25245.49","59.9","N/A","57"
"Mito 20","GTY029 25C (cropped)","Mito","12","0.0143","853","956","901.67","10820","32.99","386","478","423.25","5079","29.33","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","944.53","1154.16","1054.36","12652.26","54.36","588.41","670.71","616.04","7392.44","24.3","N/A","56"
"Mito 21","GTY029 25C (cropped)","Mito","517","0.616","762","1059","906.59","468706","42.87","378","1102","607.44","314046","140.52","1998","2190","2096.8","176131","34.76","2482","2789","2654.29","222960","53.86","763.34","1958.37","1109.77","573753.13","240.99","587.1","13294.3","2199.74","1137264.38","2419.06","N/A","N/A"
"Mito 22","GTY029 25C (cropped)","Mito","5685","6.77","700","1231","967.71","5501444","76.59","330","1715","729.25","4145781","193.67","1748","2223","1985.03","1506636","106.64","2252","2795","2543.12","1930225","109.99","576.41","3790.49","1341.28","7625201","447.75","585.3","28945.07","2279.39","12958354","2572.77","N/A","57"
"Mito 23","GTY029 25C (cropped)","Mito","5518","6.57","691","1205","927.75","5119351","69.38","367","1679","751.76","4148228","214.56","1877","2302","2064.61","1183022","98.38","2329","2954","2620.21","1501378","131.69","621.95","2829.99","1190.67","6570094","330.52","585.41","11266.22","1779.95","9821739","1501.09","N/A","N/A"
"Mito 24","GTY029 25C (cropped)","Mito","14","0.0167","807","904","861.29","12058","33.04","329","402","377","5278","19.31","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","764.96","1119.2","902.96","12641.5","112.2","587.26","651.28","613.16","8584.27","18.2","N/A","N/A"
"Mito 25","GTY029 25C (cropped)","Mito","9391","11.18","754","1778","958.07","8997281","69.1","337","1275","597.83","5614258","125.65","1823","2233","2054.59","2592891","69.08","2287","2878","2629.32","3318199","91.38","603.42","7892.63","1205.6","11321777","367.03","585.31","16316.97","1692.6","15895247","1449.09","N/A","56"
"Mito 26","GTY029 25C (cropped)","Mito","23","0.0274","772","925","868.09","19966","35.85","398","524","427.87","9841","24.6","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","850.13","1039.96","902.26","20752.01","44.13","585.5","671.2","614.36","14130.36","22.52","N/A","N/A"
"Mito 27","GTY029 25C (cropped)","Mito","3063","3.65","705","1104","927.35","2840487","57.59","356","1382","712.3","2181770","172.13","1796","2179","2010.51","838382","81.55","2233","2764","2522.44","1051859","104.91","626.54","2597.07","1287.64","3944032.5","285.65","585.37","13452.31","1966.07","6022063","1893.72","N/A","N/A"
