filename,ID,Item Name,Name,Population,Type,Volume (µm³),Min (roGFP 470),Max (roGFP 470),Mean (roGFP 470),Sum (roGFP 470),Standard Deviation (roGFP 470),"Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))",Min (mCherry double),Max (mCherry double),Mean (mCherry double),Sum (mCherry double),Standard Deviation (mCherry double),"Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))",Number of contained Mito,Compartment Whole cells ID
GTY029 25C 1 (cropped) c0 m-80 full field roi.csv,150,GTY029 25C (cropped),Mito 26,Mito,Object,0.0274,772,925,868.09,19966,35.85,850.13,1039.96,902.26,20752.01,44.13,398,524,427.87,9841,24.6,585.5,671.2,614.36,14130.36,22.52,NA,120
GTY029 25C 1 (cropped) c0 m-80 full field roi.csv,151,GTY029 25C (cropped),Mito 27,Mito,Object,3.65,705,1104,927.35,2840487,57.59,626.54,2597.07,1287.64,3944032.5,285.65,356,1382,712.3,2181770,172.13,585.37,13452.31,1966.07,6022063,1893.72,NA,120
GTY029 25C 1 (cropped) c0 m-80 full field roi.csv,155,GTY029 25C (cropped),Mito 31,Mito,Object,0.05,696,865,774.79,32541,39.31,550.62,859.3,699.94,29397.5,78,392,507,435.57,18294,32.04,592.87,804.09,659.72,27708.44,63.47,NA,120
GTY029 25C 1 (cropped) c0 m-80 full field roi.csv,165,GTY029 25C (cropped),Mito 41,Mito,Object,3.71,664,1071,880.4,2746859,65.97,565.57,3006.91,1225.47,3823454.25,408.37,357,1761,802.65,2504275,240.72,585.3,23652.17,2758.06,8605160,3332,NA,120
GTY029 25C 1 (cropped) c0 m-80 full field roi.csv,125,GTY029 25C (cropped),Mito 1,Mito,Object,0.0202,752,857,803.41,13658,31.82,769.47,826.74,799.91,13598.4,17.24,454,545,498.35,8472,24.48,587.19,607.23,596.68,10143.55,5.49,NA,121
GTY029 25C 1 (cropped) c0 m-80 full field roi.csv,156,GTY029 25C (cropped),Mito 32,Mito,Object,2.36,721,1163,904.93,1795388,70.14,582.43,2640.19,1249.55,2479098.75,440.72,367,1759,805.03,1597179,278.99,585.91,22614.72,2492.67,4945456.5,3224.9,NA,121
GTY029 25C 1 (cropped) c0 m-80 full field roi.csv,157,GTY029 25C (cropped),Mito 33,Mito,Object,0.0226,751,932,821.21,15603,44.83,668.39,821.17,741.87,14095.54,47.09,379,454,416.84,7920,22.98,586.84,657.29,612.74,11642.04,21.69,NA,121
GTY029 25C 1 (cropped) c0 m-80 full field roi.csv,166,GTY029 25C (cropped),Mito 42,Mito,Object,4.39,686,1130,940.21,3466565,56.87,527,2194.15,1232.52,4544304.5,271.96,348,1613,766.37,2825616,220.76,585.43,15903.45,2375.61,8758877,2523.58,NA,121
GTY029 25C 1 (cropped) c0 m-80 full field roi.csv,126,GTY029 25C (cropped),Mito 2,Mito,Object,0.139,818,993,903.5,105710,36.38,781.61,1028.03,879.31,102878.88,63.23,403,554,469.93,54982,25.3,585.57,740.23,627.98,73473.9,33.18,NA,122
GTY029 25C 1 (cropped) c0 m-80 full field roi.csv,127,GTY029 25C (cropped),Mito 3,Mito,Object,0.0143,811,947,871.58,10459,34.69,843.17,991.15,926.36,11116.36,48.82,416,507,462.08,5545,33.9,590.21,632.05,607.17,7286.02,11.86,NA,122
GTY029 25C 1 (cropped) c0 m-80 full field roi.csv,129,GTY029 25C (cropped),Mito 5,Mito,Object,0.0655,855,1011,930.13,51157,34.67,930.44,1490.5,1107.52,60913.34,123.29,449,557,506.95,27882,25,590.5,795.9,646.1,35535.67,53.83,NA,122
GTY029 25C 1 (cropped) c0 m-80 full field roi.csv,130,GTY029 25C (cropped),Mito 6,Mito,Object,0.0333,777,926,846.39,23699,32.64,841.81,966.83,904.03,25312.86,40.14,378,498,437.11,12239,27.46,590.39,694.81,632.55,17711.53,31.2,NA,122
