
"Name","Item Name","Population","Voxel Count","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Number of contained Mito","Compartment Whole cells ID"
"Whole cells prelim 11","GTY029 25C 5 (cropped)","Whole cells prelim","4","0.00476","N/A","N/A","N/A","N/A","N/A","742.52","760.51","752.56","3010.26","7.24","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 12","GTY029 25C 5 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","752.84","752.84","752.84","752.84","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 13","GTY029 25C 5 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","724.54","724.54","724.54","724.54","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 14","GTY029 25C 5 (cropped)","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","754.19","769.16","761.67","1523.34","7.49","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 15","GTY029 25C 5 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","790.26","790.26","790.26","790.26","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 16","GTY029 25C 5 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","740.53","740.53","740.53","740.53","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 17","GTY029 25C 5 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","739.21","739.21","739.21","739.21","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 18","GTY029 25C 5 (cropped)","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","769.39","775.98","772.68","1545.37","3.3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 19","GTY029 25C 5 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","782.33","782.33","782.33","782.33","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 20","GTY029 25C 5 (cropped)","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","772.66","775.19","773.92","1547.85","1.27","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 21","GTY029 25C 5 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","768.62","768.62","768.62","768.62","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 22","GTY029 25C 5 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","842.25","842.25","842.25","842.25","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 23","GTY029 25C 5 (cropped)","Whole cells prelim","69856","83.18","N/A","N/A","N/A","N/A","N/A","506.96","7998.31","929.6","64937872","270.81","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 24","GTY029 25C 5 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","991.47","991.47","991.47","991.47","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 25","GTY029 25C 5 (cropped)","Whole cells prelim","64392","76.67","N/A","N/A","N/A","N/A","N/A","599.09","5005.02","941.57","60629824","168.61","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 26","GTY029 25C 5 (cropped)","Whole cells prelim","55018","65.51","N/A","N/A","N/A","N/A","N/A","518.51","2250.35","929.84","51158208","139.02","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 27","GTY029 25C 5 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","652.4","652.4","652.4","652.4","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 28","GTY029 25C 5 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","712.85","712.85","712.85","712.85","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 29","GTY029 25C 5 (cropped)","Whole cells prelim","8","0.00953","N/A","N/A","N/A","N/A","N/A","678.89","761.36","723.18","5785.47","25.24","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 30","GTY029 25C 5 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","711.11","711.11","711.11","711.11","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 31","GTY029 25C 5 (cropped)","Whole cells prelim","3","0.00357","N/A","N/A","N/A","N/A","N/A","694.21","694.44","694.3","2082.91","0.0982","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 32","GTY029 25C 5 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","739.5","739.5","739.5","739.5","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 33","GTY029 25C 5 (cropped)","Whole cells prelim","105595","125.73","N/A","N/A","N/A","N/A","N/A","542.55","3309.3","958.23","1.01e+08","171.57","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 34","GTY029 25C 5 (cropped)","Whole cells prelim","5","0.00595","N/A","N/A","N/A","N/A","N/A","666.56","721.04","697.43","3487.13","19.01","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 35","GTY029 25C 5 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","692.71","692.71","692.71","692.71","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 36","GTY029 25C 5 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","820.9","820.9","820.9","820.9","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 37","GTY029 25C 5 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","710.24","710.24","710.24","710.24","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 38","GTY029 25C 5 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","728.48","728.48","728.48","728.48","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
