filename,RawCellIntDen,RawCellMean,CellVolume_um3,CellVoxelCount,RawMitoIntDen,RawMitoMean,MitoVolume_um3,MitoVoxelCount,ExtracellularBackground,CellIntDenCorr,MitoIntDenCorr,FractionInMito,MitoMeanCorr,MitoThresh,Temp
GTY030 I 36C 11_07_m-50.csv,37787084,550.61,81.72,68628,480163.45,665.9693203883495,0.858,721,484.97,4504741.919999999,130500.50999999997,0.028969586342029556,180.99932038834947,-50,36
GTY030 I 36C 12_01_m-50.csv,128000000,560.73,272.03,228459,9490972,739.58,15.28,12833,488.36,16533577.830000002,3223906.2600000002,0.19499144668797921,251.22000000000003,-50,36
GTY030 I 36C 12_02_m-50.csv,278000000,577.72,573.36,481530,23226546.06,768.9637887766927,35.9629,30205,488.36,43029520.800000004,8475637.440000003,0.19697261978339303,280.6037887766927,-50,36
GTY030 I 36C 12_03_m-50.csv,107000000,594.88,213.59,179382,6428243.11,772.8116578504447,9.906899999999998,8318,488.36,19107770.639999997,2366068.8899999987,0.12382757437159603,284.4516578504447,-50,36
PSY109 25C 2_01_m-50.csv,84457264,575.94,174.61,146643,2586924.56,733.4606918060675,4.197,3527,506.56,10174091.340000007,800278.7400000002,0.0786584976737588,226.90069180606753,-50,25
PSY109 25C 2_02_m-50.csv,86561264,565.97,182.11,152943,2535983.39,711.9507243121843,4.2441,3562,506.56,9086343.630000005,731601.7600000006,0.08051662910749945,205.39072431218432,-50,25
PSY109 25C 2_02b_m-50.csv,88277344,565.09,186.01,156219,2535983.39,711.9507243121843,4.2441,3562,506.56,9143498.070000004,731601.7600000006,0.08001333345280624,205.39072431218432,-50,25
PSY109 25C 2_03_m-50.csv,74899808,555.12,160.66,134925,2558147.25,684.18,4.45,3739,506.56,6551958,664121.1799999998,0.101362246217085,177.61999999999995,-50,25
PSY109 25C 2_04_m-50.csv,128000000,613.94,248.32,208551,3353302.82,703.0008448637317,5.672000000000001,4770,506.56,22394206.38000001,937022.8300000001,0.04184219856243013,196.44084486373168,-50,25
PSY109 25C 2_05_m-50.csv,170000000,626.5,323.99,272097,4655350.06,784.6521355132311,7.058,5933,506.56,32635314.18,1649920.6400000001,0.05055629711115593,278.0921355132311,-50,25
PSY109 25C 2_06_m-50.csv,87442328,566.67,183.73,154308,2666226.12,714.4214121114684,4.4432,3732,506.56,9275453.879999993,775738.79,0.0836335127138814,207.86141211146838,-50,25
PSY109 25C 3_01_m-50.csv,108000000,562.66,227.49,191058,2925412.09,683.5082499999999,5.097,4280,503.6,11283885.47999999,770007.3099999994,0.06823955377469855,179.90824999999984,-50,25
PSY109 25C 3_02_m-50.csv,88155816,569.98,184.16,154665,2049424.5099999998,739.595925658607,3.298,2771,503.6,10266662.7,653944.71,0.06369593792148251,235.995925658607,-50,25
PSY109 25C 3_03_m-50.csv,106000000,574.97,220.54,185220,2393009.62,739.0383137739345,3.8569999999999998,3238,503.6,13219151.4,762349.2599999999,0.05767006042460485,235.4383137739345,-50,25
PSY109 25C 3_04_m-50.csv,125000000,599.54,248.22,208467,2681438.5,707.3137694539699,4.52,3791,503.6,20000323.97999999,772278.8999999999,0.03861331950283739,203.71376945396992,-50,25
PSY109 25C 4_01_m-50.csv,107000000,576.42,221.69,186186,3303988.5,737.8283988387673,5.3309999999999995,4478,521.31,10260710.460000003,969569.3900000001,0.09449339729249118,216.51839883876733,-50,25
PSY109 25C 4_02_m-50.csv,131000000,591.54,263.77,221529,3105108.37,774.7279366267466,4.775,4008,521.31,15557981.670000004,1015699.0900000004,0.06528475939514333,253.4179366267466,-50,25
PSY109 25C 4_03_m-50.csv,89755760,583.65,183.11,153783,2618399.29,756.9826279271465,4.12,3459,521.31,9586832.220000004,815191.6199999999,0.08503242794834262,235.67262792714655,-50,25
PSY109 25C 4_04_m-50.csv,137000000,596.5,273.88,230013,3431889.19,750.46961294555,5.4389,4573,521.31,17294677.470000014,1047946.9100000005,0.06059360816747279,229.15961294555007,-50,25
PSY109 25C 4_05_m-50.csv,93943056,593.38,188.51,158319,2297688.61,798.9189847009736,3.423,2876,521.31,11410050.330000008,798403.4400000003,0.0699737001072457,277.6089847009737,-50,25
PSY109 25C 4_06_m-50.csv,133000000,600.59,264.22,221907,1436352.28,836.0599185098952,2.0463,1718,521.31,17592786.96000002,540740.36,0.030736480878752106,314.7499185098952,-50,25
PSY109 25C 4_07_m-50.csv,103000000,578.66,212.29,178290,2229041.1,781.5698913043478,3.395,2852,521.31,10224931.500000004,742261.2100000002,0.07259326969574319,260.2598913043479,-50,25
PSY109 25C 4_08_m-50.csv,135000000,564.27,285.8,240030,3758215.11,760.9232273739623,5.877000000000001,4939,521.31,10311688.800000008,1183449.73,0.11476778953996353,239.61322737396233,-50,25
PSY109 36C 7_01_m-50.csv,58451536,546.73,127.3,106911,3506809.7,718.610956967213,5.816,4880,487.89,6290643.240000003,1125918.2699999998,0.17898301128264257,230.72095696721306,-50,36
PSY109 36C 7_02_m-50.csv,346000000,557.28,738.54,620256,16475782.04,713.2980370594856,27.5041,23098,487.89,43039563.83999999,5206474.84,0.12096950748281564,225.40803705948565,-50,36
PSY109 36C 7_03_m-50.csv,255000000,570.78,532.55,447258,12749873.19,719.5191264108352,21.0955,17720,487.89,37073215.62,4104468.119999999,0.1107124928700749,231.62912641083517,-50,36
PSY109 36C 7_04_m-50.csv,103000000,572.09,214.77,180369,7504603,716.9768032865196,12.46,10467,487.89,15187069.800000008,2397851.5700000008,0.15788770326188922,229.08680328651963,-50,36
PSY109 36C 8_01_m-50.csv,179000000,561.93,379.92,319074,6194749.9399999995,750.0600399564111,9.8291,8259,483.95,24881390.51999999,2197802.819999999,0.08833118945797568,266.1100399564111,-50,36
PSY109 36C 8_02_m-50.csv,98967352,565.01,208.56,175161,4457570.3,670.9158052378086,7.912,6644,483.95,14198550.66,1242200.8100000005,0.08748785983484321,186.96580523780864,-50,36
PSY109 36C 8_03_m-50.csv,105000000,580.36,214.44,180096,6356441.61,762.4373827515893,9.934999999999999,8337,483.95,17363055.360000003,2321749.3100000005,0.13371778537023568,278.48738275158934,-50,36
PSY109 36C 9_01_m-50.csv,103000000,547.17,224.62,188643,3165753.62,717.859074829932,5.257,4410,484.98,11731708.169999989,1026996.7199999999,0.08754025459192792,232.87907482993194,-50,36
PSY109 36C 9_02_m-50.csv,168000000,555.45,360.89,303093,8834279.38,735.7608578329307,14.298,12007,484.98,21358963.71000001,3011125.759999999,0.14097714668573674,250.78085783293068,-50,36
PSY109 36C 9_03_m-50.csv,90057616,562.05,190.79,160230,2450052.63,751.5492484662576,3.882,3260,484.98,12348926.09999999,869015.7499999998,0.07037176698304158,266.5692484662576,-50,36
