filename,ID,RawCellIntDen,CellVolume_um3,RawMitoIntden,MitoVolume_um3,MeanBackground,CellIntDenCorr,MitoIntDenCorr,FractionInMito
GTY029 25C 1 (cropped) c0 m-80_bgROI.csv,120,63841420,81.68,9736489.11,9.3775,683.92,16925668.257327624,4350195.501198455,0.2570176512419311
GTY029 25C 1 (cropped) c0 m-80_bgROI.csv,121,59894404,75.58,7051097.19,6.7928,683.92,16482399.63282103,3149416.014221047,0.19107751810298823
GTY029 25C 1 (cropped) c0 m-80_bgROI.csv,122,211000000,260.98,36602303.98,33.8325,683.92,61097050.81044763,17169429.704363815,0.2810189604344672
GTY029 25C 1 (cropped) c0 m-80_bgROI.csv,123,53428940,67.31,9284615.94,9.4822,683.92,14767098.05828505,3838184.240999412,0.25991459024991076
GTY029 25C 1 (cropped) c0 m-80_bgROI.csv,124,127000000,166.49,12852837.49,12.7485,683.92,31370672.041656166,5530292.667626608,0.1762886258950111
GTY029 25C 10 (cropped)_01_c5m-80.csv,95,63080188,72.62,9976876.97,10.362,685.28,21285417.192911737,4013266.186427313,0.18854533834383908
GTY029 25C 10 (cropped)_01_c5m-80.csv,96,62854964,72.12,10505393.62,9.8572,685.28,21347956.69337365,4832308.866493658,0.22635931559640057
GTY029 25C 10 (cropped)_01_c5m-80.csv,97,57679980,63.66,14933861,13.178600000000001,685.28,21041931.12118922,7349220.865625262,0.3492655129083945
GTY029 25C 10 (cropped)_01_c5m-80.csv,98,102000000,116.57,23249922.05,22.5579,685.28,34910817.502309576,10267241.515860422,0.29409914320056174
GTY029 25C 10 (cropped)_01_c5m-80.csv,99,79317280,90.42,14278666.91,13.031600000000001,685.28,27278128.576467633,6778629.244761066,0.24850052399154945
GTY029 25C 10 (cropped)_01_c5m-80.csv,100,108000000,124.78,15483393.94,14.9302,685.28,36185740.82472496,6890660.710807089,0.19042475167729175
GTY029 25C 10 (cropped)_01_c5m-80.csv,101,75370792,91.21,11955847.56,12.639700000000001,685.28,22876974.245737806,4681358.926423112,0.20463190962831515
GTY029 25C 10 (cropped)_01_c5m-80.csv,102,98136920,113.13,22081233.98,21.5794,685.28,33027550.385487534,9661706.616264382,0.2925347627509724
