
"Name","Item Name","Population","Voxel Count","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))"
"Whole cells prelim 61","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","917.77","917.77","917.77","917.77","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 62","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","952.77","952.77","952.77","952.77","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 63","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","821.75","821.75","821.75","821.75","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 64","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","808.84","808.84","808.84","808.84","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 65","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","865.59","865.59","865.59","865.59","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 66","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","849.83","849.83","849.83","849.83","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 67","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","879.15","879.15","879.15","879.15","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 68","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","945.92","945.92","945.92","945.92","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 69","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","807.45","807.45","807.45","807.45","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 70","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","961.94","961.94","961.94","961.94","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 71","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","894.51","894.51","894.51","894.51","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 72","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","912.63","912.63","912.63","912.63","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 73","GTY029 25C 2","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","743.4","763.99","753.69","1507.39","10.3","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 74","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","637.32","637.32","637.32","637.32","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 75","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","816.09","816.09","816.09","816.09","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 76","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","929.05","929.05","929.05","929.05","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 77","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","671.09","671.09","671.09","671.09","0","N/A","N/A","N/A","N/A","N/A"
