,1392,1857,1686,1616,2130,2695,2010,1981,2654,1272,1782,1445,2181,2087,1329,1234
0,0.176,0.221,0.358,0.417,0.088,0.211,0.206,0.24,0.098,0.51,0.147,0.093,0.152,0.162,0.098,0.108
1,0.235,0.343,0.382,0.578,0.25,0.23,0.328,0.23,0.191,0.593,0.309,0.103,0.26,0.211,0.162,0.078
2,0.289,0.372,0.495,0.603,0.333,0.397,0.333,0.279,0.441,0.593,0.534,0.23,0.348,0.363,0.167,0.221
3,0.441,0.475,0.686,0.76,0.402,0.505,0.529,0.49,0.485,0.706,0.417,0.299,0.451,0.505,0.191,0.255
4,NA,NA,0.946,0.789,NA,0.73,NA,NA,0.706,0.701,0.784,0.333,NA,NA,0.309,0.426
5,NA,NA,1.073,0.936,NA,0.853,NA,NA,1,0.76,NA,0.446,NA,NA,NA,NA
6,NA,NA,NA,NA,NA,1.602,NA,NA,NA,0.951,NA,0.524,NA,NA,NA,NA
