,1392,1857,782,1686,1616,2130,2695,2010,1091,1981,2654,1272,687,859,1058,979,743,1782,1445,2181,2087,1329,1029,1234,504
0,0.176,0.221,0.167,0.358,0.417,0.088,0.211,0.206,0.098,0.240,0.098,0.510,0.181,0.470,0.157,0.093,0.142,0.147,0.093,0.152,0.162,0.098,0.225,0.108,0.054
1,0.235,0.343,0.181,0.382,0.578,0.250,0.230,0.328,0.127,0.230,0.191,0.593,0.127,0.593,0.132,0.162,0.211,0.309,0.103,0.260,0.211,0.162,0.289,0.078,0.044
2,0.289,0.372,0.142,0.495,0.603,0.333,0.397,0.333,0.255,0.279,0.441,0.593,0.250,0.671,0.103,0.211,0.255,0.534,0.230,0.348,0.363,0.167,0.294,0.221,0.083
3,0.441,0.475,0.240,0.686,0.760,0.402,0.505,0.529,0.211,0.490,0.485,0.706,0.343,0.598,0.279,0.358,0.323,0.417,0.299,0.451,0.505,0.191,0.402,0.255,0.123
4,NA,NA,0.274,0.946,0.789,NA,0.730,NA,0.284,NA,0.706,0.701,0.289,0.715,NA,0.314,0.314,0.784,0.333,NA,NA,0.309,0.417,0.426,0.132
5,NA,NA,NA,1.073,0.936,NA,0.853,NA,0.274,NA,1.000,0.760,NA,0.833,NA,NA,0.333,NA,0.446,NA,NA,NA,0.510,NA,0.088
6,NA,NA,NA,NA,NA,NA,1.602,NA,NA,NA,NA,0.951,NA,0.858,NA,NA,NA,NA,0.524,NA,NA,NA,0.583,NA,0.083
