SARS-CoV-2 RNA Levels in Wastewater for Sewershed 836 Treatment plant in New York
Date generated: Thu Jul 21 2022 09:08:00 GMT-0400 (Eastern Daylight Time)
Week Ending Date,Normalized SARS-CoV-2 concentration in wastewater
2022-03-17,1641910.574
2022-03-18,2126357.077
2022-03-19,2626731.23
2022-03-20,3143960.012
2022-03-21,3678970.401
2022-03-22,4232689.372
2022-03-23,4806043.904
2022-03-24,5399156.275
2022-03-25,6008929.966
2022-03-26,6631463.756
2022-03-27,7262856.428
2022-03-28,7899206.763
2022-03-29,8536613.542
2022-03-30,9171175.546
2022-03-31,9798269.252
2022-04-01,10410381.92
2022-04-02,10999278.507
2022-04-03,11556723.967
2022-04-04,12074483.257
2022-04-05,12544321.332
2022-04-06,12958003.15
2022-04-07,13309420.032
2022-04-08,13600968.771
2022-04-09,13837172.528
2022-04-10,14022554.462
2022-04-11,14161637.733
2022-04-12,14258945.501
2022-04-13,14319000.925
2022-04-14,14345868.106
2022-04-15,14341774.897
2022-04-16,14308490.092
2022-04-17,14247782.487
2022-04-18,14161420.874
2022-04-19,14051174.048
2022-04-20,13918810.802
2022-04-21,13766355.266
2022-04-22,13596852.907
2022-04-23,13413604.525
2022-04-24,13219910.924
2022-04-25,13019072.904
2022-04-26,12814391.267
2022-04-27,12609166.816
2022-04-28,12406456.668
2022-04-29,12208343.204
2022-04-30,12016665.125
2022-05-01,11833261.128
2022-05-02,11659969.911
2022-05-03,11498630.174
2022-05-04,11351080.614
2022-05-05,11219535.85
2022-05-06,11107714.178
2022-05-07,11019709.814
2022-05-08,10959616.973
2022-05-09,10931529.871
2022-05-10,10939542.724
2022-05-11,10987749.748
2022-05-12,11078886.793
2022-05-13,11210256.247
2022-05-14,11377802.136
2022-05-15,11577468.482
2022-05-16,11805199.309
2022-05-17,12056938.641
2022-05-18,12328630.501
2022-05-19,12617594.037
2022-05-20,12926648.886
2022-05-21,13259989.807
2022-05-22,13621811.561
2022-05-23,14016308.908
2022-05-24,14447676.608
2022-05-25,14920109.422
2022-05-26,15437451.986
2022-05-27,16002148.446
2022-05-28,16616292.822
2022-05-29,17281979.134
2022-05-30,18001301.406
2022-05-31,18776353.657
2022-06-01,19609229.91
2022-06-02,20499806.388
2022-06-03,21439088.135
2022-06-04,22415862.395
2022-06-05,23418916.415
2022-06-06,24437037.44
2022-06-07,25459012.716
2022-06-08,26473629.489
2022-06-09,27469675.005
2022-06-10,28435857.776
2022-06-11,29360571.388
2022-06-12,30232130.694
2022-06-13,31038850.547
2022-06-14,31769045.798
2022-06-15,32411031.302
2022-06-16,32959001.436
2022-06-17,33430668.689
2022-06-18,33849625.072
2022-06-19,34239462.599
2022-06-20,34623773.284
2022-06-21,35026149.139
2022-06-22,35470182.178
2022-06-23,35974566.858
2022-06-24,36538407.418
2022-06-25,37155910.541
2022-06-26,37821282.908
2022-06-27,38528731.203
2022-06-28,39272462.108
2022-06-29,40046682.307
2022-06-30,40839374.783
2022-07-01,41613627.724
2022-07-02,42326305.621
2022-07-03,42934272.963
2022-07-04,43394394.24
2022-07-05,43663533.942
2022-07-06,43698556.558
2022-07-07,43470129.364
2022-07-08,43004130.785
2022-07-09,42340242.031
2022-07-10,41518144.31
2022-07-11,40577518.835
2022-07-12,39558046.814
2022-07-13,38499409.458
2022-07-14,N/A
2022-07-15,N/A
2022-07-16,N/A
2022-07-17,N/A
