Wastewater Surveillance Data
Date generated: Thu Oct 12 2023 10:06:15 GMT-0400 (Eastern Daylight Time)
Jurisdiction,Sewershed ID,Reporting Jurisdiction,County,Population Served,Current virus levels in wastewater by site (in %),Percent change in the last 15 days ,Percent of wastewater samples with detectable virus 
New York,2176,New York,Chemung,38037,44.67,-100,50
New York,2177,New York,Chemung,18085,80.67,189,100
New York,2179,New York,Erie,24461,N/A,-11,100
New York,2181,New York,Monroe,487322,70.8,151,100
New York,2182,New York,Orange,6369,61.4,-87,33
New York,2186,New York,Niagara,31032,73.33,434,100
New York,2189,New York,Ulster,10577,67.67,N/A,100
New York,2194,New York,Saratoga,152482,82.6,2388,100
New York,2197,New York,Essex,3263,95.33,24904,100
New York,2200,New York,Jefferson,26270,79,64,100
New York,2201,New York,Oswego,14199,68,27811,67
New York,2268,New York,Onondaga,3272,90.67,29715,100
New York,2272,New York,Saint Lawrence,11269,69.75,3633,75
New York,2280,New York,Seneca,6160,83.33,75,100
New York,2281,New York,Chautauqua,3365,71.67,195930,50
New York,2287,New York,Oneida,3210,71,15489747,50
New York,2333,New York,Dutchess,3391,new site,N/A,100
New York,300,New York,Otsego,19383,80,45,100
New York,477,New York,Essex,3076,55.67,-92,100
New York,483,New York,Delaware,3581,76.33,-100,100
New York,513,New York,Onondaga,30613,88.67,N/A,100
New York,515,New York,Madison,4843,69,71,100
New York,522,New York,Orange,27434,47.6,-100,33
New York,524,New York,Orange,36227,59.6,72,100
New York,529,New York,Orange,8568,64.6,-100,75
New York,531,New York,Jefferson,4077,68,-96,100
New York,532,New York,Onondaga,25965,64.67,N/A,100
New York,580,New York,Monroe,43074,66,667,100
New York,694,New York,Franklin,7175,18.5,N/A,0
New York,721,New York,Rensselaer,79699,71.4,-99,75
New York,723,New York,Seneca,6961,59.33,N/A,100
New York,776,New York,Ulster,26599,66.6,-59,100
New York,869,New York,Warren,23462,37.2,46339,50
New York,986,New York,Washington,12260,50.67,-90,100
New York,995,New York,Allegany,4155,N/A,N/A,N/A
New York,996,New York,Erie,142478,52.2,112,100
New York,997,New York,Genesee,16459,51.2,-97,100
New York,998,New York,Erie,431141,65,12287704,100
New York,2344,New York,Oswego,30000,65,-17,100
New York,2395,New York,Tompkins,90000,35.29,26,100
New York City,498,New York City,Bronx,684569,N/A,N/A,N/A
New York City,500,New York City,New York,588772,N/A,N/A,N/A
New York City,505,New York City,Queens,410812,N/A,N/A,N/A
New York City,509,New York City,New York,588772,N/A,N/A,N/A
New York City,541,New York City,Kings,596326,N/A,N/A,N/A
New York City,549,New York City,Kings,1068012,N/A,N/A,N/A
New York City,551,New York City,Kings,758007,N/A,N/A,N/A
New York City,552,New York City,Richmond,198128,N/A,N/A,N/A
New York City,485,New York City,Kings,283428,N/A,N/A,N/A
New York City,487,New York City,Queens,848328,N/A,N/A,N/A
New York City,503,New York City,Queens,90474,N/A,N/A,N/A
New York City,545,New York City,Queens,728123,N/A,N/A,N/A
New York City,550,New York City,Richmond,244918,N/A,N/A,N/A
New York City,553,New York City,Kings,192050,N/A,N/A,N/A
North Carolina,1148,North Carolina,Surry,10000,N/A,N/A,N/A
North Carolina,1220,North Carolina,Rowan,31536,N/A,N/A,N/A
North Carolina,1223,North Carolina,Rowan,22940,N/A,N/A,N/A
North Carolina,537,North Carolina,Stanly,20000,N/A,N/A,N/A
North Carolina,569,North Carolina,Greene; Lenoir,20484,N/A,N/A,N/A
North Carolina,111,North Carolina,Wilson,49384,73.6,67,100
North Carolina,1521,North Carolina,Mecklenburg,82158,81.4,42,100
North Carolina,1523,North Carolina,Durham,142000,55.8,-53,100
North Carolina,167,North Carolina,Pitt,89616,90,-77,100
North Carolina,2014,North Carolina,Gaston,28940,N/A,N/A,N/A
North Carolina,2016,North Carolina,Catawba,24841,N/A,N/A,N/A
North Carolina,2018,North Carolina,Gaston,68700,N/A,N/A,N/A
North Carolina,2019,North Carolina,Cabarrus,6898,N/A,N/A,N/A
North Carolina,237,North Carolina,Mcdowell,8459,80.6,-63,100
North Carolina,332,North Carolina,Wake,550000,85.8,64,100
North Carolina,335,North Carolina,Wake,7776,52.6,47,100
North Carolina,451,North Carolina,New Hanover,67743,84.4,-35,100
North Carolina,86,North Carolina,Wake,75886,67,-9,100
North Carolina,1179,North Carolina,Watauga,26000,N/A,N/A,N/A
North Carolina,421,North Carolina,Duplin; Pender,10000,N/A,N/A,N/A
North Carolina,536,North Carolina,Swain; Jackson,12000,N/A,N/A,N/A
North Carolina,539,North Carolina,Vance,15000,N/A,N/A,N/A
North Carolina,575,North Carolina,Mitchell,3500,N/A,N/A,N/A
North Carolina,1031,North Carolina,Onslow,41819,66.8,-60,100
North Carolina,144,North Carolina,Cumberland,151589,91.6,-56,100
North Carolina,1611,North Carolina,Davidson; Guilford,116390,68.8,-59,100
North Carolina,166,North Carolina,Guilford,135821,76.2,-66,100
North Carolina,2013,North Carolina,Union,17000,N/A,N/A,N/A
North Carolina,2015,North Carolina,Gaston,6700,N/A,N/A,N/A
North Carolina,2017,North Carolina,Lincoln,15042,N/A,N/A,N/A
North Carolina,2020,North Carolina,Cabarrus,226400,N/A,N/A,N/A
North Carolina,2021,North Carolina,Union,70608,N/A,N/A,N/A
North Carolina,2033,North Carolina,Henderson,43633,70.8,2631,100
North Carolina,2101,North Carolina,Lincoln,11000,N/A,N/A,N/A
North Carolina,216,North Carolina,Scotland,15527,59,4397,67
North Carolina,271,North Carolina,Buncombe; Henderson,173000,79.6,-41,100
North Carolina,288,North Carolina,Catawba,40488,N/A,N/A,N/A
North Carolina,303,North Carolina,Orange; Durham,78141,89,-40,100
North Carolina,334,North Carolina,Wake,30655,87.4,54,100
North Carolina,345,North Carolina,Northampton; Halifax,14320,70.8,-98,100
North Carolina,369,North Carolina,Orange; Durham,108105,87.4,-95,100
North Carolina,405,North Carolina,Jackson,13296,53.8,409,100
North Carolina,450,North Carolina,New Hanover,58361,85,-12,100
North Carolina,452,North Carolina,Forsyth,178000,85.8,-98,100
North Carolina,53,North Carolina,Carteret,3500,77,376,100
North Carolina,84,North Carolina,Wake,84189,89.4,-7,100
North Carolina,85,North Carolina,Wake,74331,76.6,133,100
North Carolina,92,North Carolina,Mecklenburg,68685,81.6,-91,100
North Carolina,93,North Carolina,Mecklenburg,182501,81.6,-84,100
North Carolina,94,North Carolina,Mecklenburg,120000,71.2,-37,100
North Carolina,1662,North Carolina,Forsyth,92000,58.13,7,100
North Carolina,2410,North Carolina,Wilson,50000,new site,19,100
North Carolina,569,North Carolina,Lenoir,25000,68.71,6,100
North Dakota,1463,North Dakota,Grand Forks,67000,N/A,N/A,N/A
North Dakota,1471,North Dakota,Stark,25679,N/A,N/A,N/A
Ohio,101,Ohio,Preble,8400,N/A,N/A,N/A
Ohio,102,Ohio,Marion,36000,N/A,N/A,N/A
Ohio,108,Ohio,Erie,55000,N/A,N/A,N/A
Ohio,121,Ohio,Ashtabula,12000,N/A,N/A,N/A
Ohio,124,Ohio,Coshocton,12000,N/A,N/A,N/A
Ohio,129,Ohio,Defiance,23027,N/A,N/A,N/A
Ohio,131,Ohio,Tuscarawas,13572,N/A,N/A,N/A
Ohio,134,Ohio,Montgomery,78509,N/A,N/A,N/A
Ohio,141,Ohio,Belmont,13169,N/A,N/A,N/A
Ohio,147,Ohio,Hancock,42000,N/A,N/A,N/A
Ohio,1608,Ohio,Hocking,8500,N/A,N/A,N/A
Ohio,168,Ohio,Darke,13000,N/A,N/A,N/A
Ohio,170,Ohio,Butler,65000,N/A,N/A,N/A
Ohio,187,Ohio,Franklin,645940,N/A,N/A,N/A
Ohio,204,Ohio,Portage,29000,N/A,N/A,N/A
Ohio,219,Ohio,Allen,61000,N/A,N/A,N/A
Ohio,221,Ohio,Hamilton,200666,N/A,N/A,N/A
Ohio,222,Ohio,Medina,35000,N/A,N/A,N/A
Ohio,225,Ohio,Lorain,72000,N/A,N/A,N/A
Ohio,228,Ohio,Lucas,195577,N/A,N/A,N/A
Ohio,241,Ohio,Union,24677,N/A,N/A,N/A
Ohio,255,Ohio,Hamilton,566136,N/A,N/A,N/A
Ohio,276,Ohio,Cuyahoga,313158,N/A,N/A,N/A
Ohio,277,Ohio,Cuyahoga,524154,N/A,N/A,N/A
Ohio,278,Ohio,Cuyahoga,103379,N/A,N/A,N/A
Ohio,282,Ohio,Licking,45000,N/A,N/A,N/A
Ohio,311,Ohio,Wood,21000,N/A,N/A,N/A
Ohio,322,Ohio,Ottawa,7000,N/A,N/A,N/A
Ohio,374,Ohio,Franklin,654817,N/A,N/A,N/A
Ohio,382,Ohio,Clark,88710,N/A,N/A,N/A
Ohio,388,Ohio,Jefferson,17864,N/A,N/A,N/A
Ohio,422,Ohio,Trumbull,68874,N/A,N/A,N/A
Ohio,428,Ohio,Fayette,14000,N/A,N/A,N/A
Ohio,43,Ohio,Fulton,6000,N/A,N/A,N/A
Ohio,455,Ohio,Mahoning,65469,N/A,N/A,N/A
Ohio,456,Ohio,Muskingum,47500,N/A,N/A,N/A
Ohio,46,Ohio,Ashtabula,31430,N/A,N/A,N/A
Ohio,48,Ohio,Athens,24536,N/A,N/A,N/A
Ohio,67,Ohio,Wood,32000,N/A,N/A,N/A
Ohio,73,Ohio,Williams,8655,N/A,N/A,N/A
Ohio,74,Ohio,Crawford,12362,N/A,N/A,N/A
Ohio,82,Ohio,Carroll,3500,N/A,N/A,N/A
Ohio,975,Ohio,Greene,4100,N/A,N/A,N/A
Ohio,98,Ohio,Pickaway,13965,N/A,N/A,N/A
Ohio,1810,Ohio,Portage; Summit,365000,64.43,-2,100
Ohio,112,Ohio,Wayne,27000,N/A,N/A,N/A
Ohio,127,Ohio,Montgomery,226729,N/A,N/A,N/A
Ohio,140,Ohio,Lorain,54500,N/A,N/A,N/A
Ohio,157,Ohio,Sandusky,25000,N/A,N/A,N/A
Ohio,1805,Ohio,Huron,3276,N/A,N/A,N/A
Ohio,186,Ohio,Lawrence,10445,N/A,N/A,N/A
Ohio,1957,Ohio,Lake,20000,N/A,N/A,N/A
Ohio,205,Ohio,Hardin,8500,N/A,N/A,N/A
Ohio,214,Ohio,Fairfield,24303,N/A,N/A,N/A
Ohio,233,Ohio,Richland,52000,N/A,N/A,N/A
Ohio,235,Ohio,Washington,15284,N/A,N/A,N/A
Ohio,273,Ohio,Hamilton,125247,N/A,N/A,N/A
Ohio,274,Ohio,Henry,12246,N/A,N/A,N/A
Ohio,291,Ohio,Huron,17000,N/A,N/A,N/A
Ohio,301,Ohio,Lucas,44680,N/A,N/A,N/A
Ohio,304,Ohio,Butler,22000,N/A,N/A,N/A
Ohio,309,Ohio,Licking,3300,N/A,N/A,N/A
Ohio,326,Ohio,Scioto,20366,N/A,N/A,N/A
Ohio,36,Ohio,Summit,377378,N/A,N/A,N/A
Ohio,395,Ohio,Hamilton,83058,N/A,N/A,N/A
Ohio,398,Ohio,Lucas,372208,N/A,N/A,N/A
Ohio,403,Ohio,Montgomery,65000,N/A,N/A,N/A
Ohio,411,Ohio,Wyandot,6700,N/A,N/A,N/A
Ohio,442,Ohio,Montgomery,113629,N/A,N/A,N/A
Ohio,54,Ohio,Greene,46160,N/A,N/A,N/A
Ohio,79,Ohio,Stark,85000,N/A,N/A,N/A
Ohio,859,Ohio,Mercer,4800,N/A,N/A,N/A
Ohio,1779,Ohio,Mahoning,174000,58.14,5,100
Oklahoma,1264,Oklahoma,Carter,25000,N/A,N/A,N/A
Oklahoma,767,Oklahoma,Garfield,51000,N/A,N/A,N/A
Oklahoma,831,Oklahoma,Beckham,11500,N/A,N/A,N/A
Oklahoma,767,Oklahoma,Garfield,51000,N/A,N/A,N/A
Oklahoma,769,Oklahoma,Comanche,93000,N/A,N/A,N/A
Oklahoma,769,Oklahoma,Comanche,93000,N/A,N/A,N/A
Oklahoma,831,Oklahoma,Beckham,11500,N/A,N/A,N/A
Oregon,469,Oregon,Jackson,21105,47.67,N/A,100
Oregon,929,Oregon,Linn,57785,35,222106,100
Oregon,930,Oregon,Clatsop,11326,N/A,N/A,N/A
Oregon,932,Oregon,Deschutes,92850,N/A,N/A,N/A
Oregon,933,Oregon,Clackamas,14206,31,N/A,100
Oregon,937,Oregon,Lincoln,8865,24.75,524,100
Oregon,938,Oregon,Yamhill,24120,N/A,N/A,N/A
Oregon,939,Oregon,Lincoln,10400,28.8,84601,100
Oregon,941,Oregon,Marion,26273,61.67,N/A,100
Oregon,944,Oregon,Washington,9900,36.2,-100,100
Oregon,948,Oregon,Wasco,15276,N/A,N/A,N/A
Oregon,950,Oregon,Josephine,37725,N/A,N/A,N/A
Oregon,952,Oregon,Hood River,7800,24.33,152741382,100
Oregon,956,Oregon,Jackson,133708,N/A,N/A,N/A
Oregon,957,Oregon,Coos,9975,34,-98,100
Oregon,958,Oregon,Malheur,10966,N/A,N/A,N/A
Oregon,966,Oregon,Columbia,13739,25.2,-99,100
Oregon,1164,Oregon,Clackamas; Washington,25780,new site,N/A,N/A
Oregon,1164,Oregon,Clackamas; Washington,25780,N/A,N/A,N/A
Oregon,1200,Oregon,Multnomah; Washington,654741,N/A,N/A,N/A
Oregon,1201,Oregon,Washington; Multnomah; Clackamas,45600,N/A,N/A,N/A
Oregon,934,Oregon,Benton,58856,40,36375,100
Oregon,935,Oregon,Polk,16555,39.5,42,100
Oregon,936,Oregon,Lane,8925,37.2,2147483647,100
Oregon,942,Oregon,Washington,220000,29,-72,100
Oregon,943,Oregon,Washington,40000,39.6,176,100
Oregon,945,Oregon,Multnomah,662235,23.67,N/A,100
Oregon,947,Oregon,Lane,10200,N/A,N/A,N/A
Oregon,949,Oregon,Washington,40000,32.8,626,100
Oregon,951,Oregon,Umatilla,18775,58.8,303,100
Oregon,953,Oregon,Klamath,20840,49.2,-23,100
Oregon,955,Oregon,Yamhill,34615,N/A,N/A,N/A
Oregon,959,Oregon,Umatilla,17500,N/A,N/A,N/A
Oregon,960,Oregon,Douglas,30000,N/A,N/A,N/A
Oregon,961,Oregon,Marion,229000,51.67,N/A,100
Oregon,965,Oregon,Marion,10520,36.25,-100,50
Oregon,967,Oregon,Marion,10840,39.33,N/A,100
Oregon,971,Oregon,Lane,235155,32.8,32369,100
Pennsylvania,1081,Pennsylvania,Montgomery,13000,N/A,N/A,N/A
Pennsylvania,1083,Pennsylvania,Montgomery,10000,N/A,N/A,N/A
Pennsylvania,125,Pennsylvania,Allegheny; Butler,41000,N/A,N/A,N/A
Pennsylvania,1454,Pennsylvania,Bucks,55000,new site,N/A,N/A
Pennsylvania,1617,Pennsylvania,Lackawanna,88000,N/A,N/A,N/A
Pennsylvania,1357,Pennsylvania,Montgomery,30000,80.8,-98,100
Pennsylvania,1358,Pennsylvania,Cumberland,25000,67.4,-97,100
Pennsylvania,1359,Pennsylvania,Erie,200000,76.6,-90,100
Pennsylvania,1367,Pennsylvania,Franklin,67000,73,-52,100
Pennsylvania,1370,Pennsylvania,Lehigh,200000,81.29,N/A,100
Pennsylvania,1370,Pennsylvania,Lehigh,200000,78.8,N/A,100
Pennsylvania,1375,Pennsylvania,York,85000,71.2,-68,100
Pennsylvania,1376,Pennsylvania,Westmoreland,4600,71.43,443070,100
Pennsylvania,1529,Pennsylvania,Indiana,28809,85.6,-100,100
Pennsylvania,1530,Pennsylvania,Centre,12000,88.57,-100,100
Pennsylvania,1775,Pennsylvania,Lackawanna,15700,91,-100,100
Pennsylvania,1776,Pennsylvania,Mercer,19000,79.29,282603,100
Pennsylvania,1787,Pennsylvania,Chester,10500,new site,N/A,100
Pennsylvania,1787,Pennsylvania,Chester,10500,71,N/A,100
Pennsylvania,1809,Pennsylvania,Chester,13500,88,5345657,100
Pennsylvania,1161,Pennsylvania,Lehigh,6598,N/A,N/A,N/A
Pennsylvania,1388,Pennsylvania,Allegheny,22000,N/A,N/A,N/A
Pennsylvania,1454,Pennsylvania,Bucks,55000,N/A,N/A,N/A
Pennsylvania,1366,Pennsylvania,Dauphin,125000,84,N/A,100
Pennsylvania,1368,Pennsylvania,Westmoreland; Armstrong,33350,76.86,6215,100
Pennsylvania,1376,Pennsylvania,Westmoreland,4600,new site,2147483647,100
Pennsylvania,1390,Pennsylvania,Monroe,25000,66.8,19001,100
Pennsylvania,1455,Pennsylvania,Delaware,6800,56.8,-45,100
Pennsylvania,1533,Pennsylvania,Centre,90000,72,74,100
Pennsylvania,1553,Pennsylvania,Mckean,14194,89.14,N/A,100
Pennsylvania,1554,Pennsylvania,Mercer,16000,80.8,1048,100
Pennsylvania,1775,Pennsylvania,Lackawanna,15700,new site,N/A,N/A
Pennsylvania,1777,Pennsylvania,Monroe,4000,61.5,18108825,100
Pennsylvania,2307,Pennsylvania,Montgomery,35000,81.8,N/A,100
Pennsylvania,2308,Pennsylvania,Montgomery,8900,82.4,N/A,100
Pennsylvania,2328,Pennsylvania,Montgomery,70000,83.2,N/A,100
Pennsylvania,2329,Pennsylvania,Montgomery,35000,80,N/A,100
Pennsylvania,2362,Pennsylvania,Allegheny,900000,34.86,-65,100
Pennsylvania,2364,Pennsylvania,Allegheny,7000,25,52,100
Pennsylvania,2365,Pennsylvania,Allegheny,48000,38.29,267,100
Pennsylvania,2367,Pennsylvania,Allegheny,5191,44.71,-75,100
Pennsylvania,2368,Pennsylvania,Allegheny,43482,38.43,-21,100
Pennsylvania,1667,Pennsylvania,Dauphin,125000,47.71,9,100
Pennsylvania,1737,Pennsylvania,Delaware,220000,58.71,28,100
Rhode Island,1134,Rhode Island,Kent,60224,N/A,N/A,N/A
Rhode Island,1224,Rhode Island,Kent,33000,N/A,N/A,N/A
Rhode Island,464,Rhode Island,Providence,240000,N/A,N/A,N/A
Rhode Island,548,Rhode Island,Providence,120000,N/A,N/A,N/A
Rhode Island,565,Rhode Island,Kent,6000,N/A,N/A,N/A
Rhode Island,565,Rhode Island,Kent,6000,new site,N/A,N/A
Rhode Island,677,Rhode Island,Bristol,21100,N/A,N/A,N/A
Rhode Island,464,Rhode Island,Providence,240000,N/A,N/A,N/A
Rhode Island,76,Rhode Island,Providence,10000,N/A,N/A,N/A
Rhode Island,835,Rhode Island,Bristol,11000,N/A,N/A,N/A
Rhode Island,146,Rhode Island,Providence,226000,new site,N/A,100
South Carolina,1265,South Carolina,Georgetown,12000,N/A,N/A,N/A
South Carolina,1541,South Carolina,Horry,30000,new site,N/A,N/A
South Carolina,1541,South Carolina,Horry,30000,N/A,N/A,N/A
South Carolina,1549,South Carolina,Greenville,140280,N/A,N/A,N/A
South Carolina,599,South Carolina,Greenwood,12000,N/A,N/A,N/A
South Carolina,906,South Carolina,Lexington,40000,28.5,N/A,N/A
South Carolina,1159,South Carolina,Florence; Darlington,45000,N/A,N/A,N/A
South Carolina,1549,South Carolina,Greenville,140280,N/A,N/A,N/A
South Carolina,600,South Carolina,Greenwood,48000,new site,N/A,N/A
South Carolina,600,South Carolina,Greenwood,48000,N/A,N/A,N/A
South Carolina,1871,South Carolina,Beaufort,20000,61.33,N/A,N/A
South Carolina,877,South Carolina,Kershaw,8825,56,-70,N/A
South Carolina,878,South Carolina,Charleston,64170,17,N/A,N/A
South Carolina,883,South Carolina,York,88000,N/A,N/A,N/A
South Carolina,884,South Carolina,Greenville,143531,34.2,-64,N/A
South Carolina,885,South Carolina,Georgetown,30000,22.2,-41,N/A
South Carolina,908,South Carolina,Richland,60000,43.6,-26,N/A
South Carolina,909,South Carolina,Horry,195000,21,-97,N/A
South Dakota,1266,South Dakota,Lincoln; Minnehaha,215000,N/A,N/A,N/A
South Dakota,1266,South Dakota,Minnehaha; Lincoln,215000,new site,N/A,N/A
South Dakota,672,South Dakota,Pennington,80000,N/A,N/A,N/A
South Dakota,2215,South Dakota,Yankton,20000,85.14,13,100
South Dakota,493,South Dakota,Beadle,13289,new site,N/A,N/A
South Dakota,493,South Dakota,Beadle,13289,N/A,N/A,N/A
Tennessee,1282,Tennessee,Davidson; Rutherford; Williamson,600000,N/A,N/A,N/A
Tennessee,1323,Tennessee,Shelby,300000,N/A,N/A,N/A
Tennessee,1445,Tennessee,Sumner,45000,N/A,N/A,N/A
Tennessee,1607,Tennessee,Chester,3710,N/A,N/A,N/A
Tennessee,1283,Tennessee,Davidson,600000,N/A,N/A,N/A
Tennessee,1329,Tennessee,Shelby,300000,N/A,N/A,N/A
Tennessee,1508,Tennessee,Hawkins; Sullivan,60500,N/A,N/A,N/A
Tennessee,1539,Tennessee,Sullivan,50000,N/A,N/A,N/A
Tennessee,496,Tennessee,Bradley,52000,N/A,N/A,N/A
Tennessee,2288,Tennessee,Walker; Dade; Catoosa; Hamilton,400000,68.29,-7,100
Tennessee,2345,Tennessee,Shelby,300000,38.29,16,100
Texas,1131,Texas,Kaufman,138700,N/A,N/A,N/A
Texas,1140,Texas,Travis,500000,new site,N/A,N/A
Texas,1141,Texas,Travis,510000,N/A,N/A,N/A
Texas,1231,Texas,Dallas,500000,N/A,N/A,N/A
Texas,1752,Texas,Tarrant,1200000,N/A,N/A,N/A
Texas,2043,Texas,Dallas,313164,N/A,N/A,N/A
Texas,2374,Texas,Andrews,13276,N/A,N/A,N/A
Texas,566,Texas,El Paso,143000,new site,N/A,N/A
Texas,566,Texas,El Paso,143000,N/A,N/A,N/A
Texas,667,Texas,Galveston,26400,N/A,N/A,N/A
Texas,673,Texas,El Paso,436000,N/A,N/A,N/A
Texas,681,Texas,El Paso,142000,N/A,N/A,N/A
Texas,709,Texas,El Paso,170000,N/A,N/A,N/A
Texas,865,Texas,Webb,120000,N/A,N/A,N/A
Texas,867,Texas,Webb,140000,N/A,N/A,N/A
Texas,113,Houston,Harris,3825,51,N/A,100
Texas,165,Houston,Harris; Fort Bend,28742,46,-43,100
Texas,176,Houston,Harris,9375,55.67,83,100
Texas,1933,Texas,Denton,193820,N/A,N/A,N/A
Texas,272,Houston,Harris,4010,44,-89,100
Texas,287,Houston,Harris,12892,52.67,104,100
Texas,288,Houston,Harris,33102,42,0,100
Texas,350,Houston,Harris,20608,73,-8,100
Texas,373,Houston,Harris,32485,40.33,-58,100
Texas,375,Houston,Harris,293227,70,N/A,100
Texas,409,Houston,Harris,97918,49,-3,100
Texas,434,Houston,Harris; Fort Bend,20920,41.67,-50,100
Texas,446,Houston,Harris,20758,55.67,52,100
Texas,1673,Texas,Dallas,200000,50,0,100
Texas,1683,Texas,Dallas,186000,51.57,5,100
Texas,1761,Texas,Potter; Randall,60000,56.63,18,100
Texas,1762,Texas,Potter; Randall,140000,69,-5,100
Texas,1765,Texas,Wichita,90000,70.29,-4,100
Texas,1807,Texas,Cooke,17300,26.14,-15,100
Texas,1947,Texas,Montgomery,65000,60,4,100
Texas,1948,Texas,Montgomery,70000,82.43,-22,100
Texas,2300,Texas,Dallas,421700,79.8,-4,100
Texas,2325,Texas,Dallas,270000,58.29,-18,100
Texas,2326,Texas,Dallas,630000,69.29,2,100
Texas,865,Texas,Webb,120000,51.71,1,100
Texas,867,Texas,Webb,140000,57.71,-4,100
Texas,1131,Texas,Kaufman,138700,new site,N/A,N/A
Texas,1140,Texas,Travis,500000,N/A,N/A,N/A
Texas,1141,Texas,Travis,510000,N/A,N/A,N/A
Texas,1210,Texas,Dallas,900000,N/A,N/A,N/A
Texas,1494,Texas,Galveston,20000,N/A,N/A,N/A
Texas,2040,Texas,Dallas,105158,N/A,N/A,N/A
Texas,2041,Texas,Dallas,131391,N/A,N/A,N/A
Texas,2042,Texas,Dallas,22191,N/A,N/A,N/A
Texas,2044,Texas,Dallas,9079,N/A,N/A,N/A
Texas,593,Texas,Galveston,89600,N/A,N/A,N/A
Texas,681,Texas,El Paso,142000,N/A,N/A,N/A
Texas,805,Texas,Dallas,900000,N/A,N/A,N/A
Texas,811,Texas,Bexar,415000,N/A,N/A,N/A
Texas,847,Texas,Bexar,230000,N/A,N/A,N/A
Texas,848,Texas,Bexar,630000,N/A,N/A,N/A
Texas,863,Texas,Webb,30000,N/A,N/A,N/A
Texas,135,Houston,Harris,16030,45.33,52,100
Texas,149,Houston,Harris,4170,70,186,100
Texas,160,Houston,Harris,40689,61.67,-53,100
Texas,183,Houston,Harris,16804,37,-28,100
Texas,1934,Texas,Mclennan,193820,N/A,N/A,N/A
Texas,201,Houston,Harris,124000,49.5,143,100
Texas,207,Houston,Harris; Montgomery,52055,58,-38,100
Texas,250,Houston,Harris,20161,36,-72,100
Texas,289,Houston,Harris,19867,48,66,100
Texas,290,Houston,Harris,95600,52.33,-91,100
Texas,307,Houston,Harris,5497,53,N/A,100
Texas,35,Houston,Harris,551150,47.67,4,100
Texas,366,Houston,Harris,109414,57.67,177,100
Texas,367,Houston,Harris,109414,77.33,1524,100
Texas,406,Houston,Harris,59188,52.67,191,100
Texas,40,Houston,Harris,117968,42,-49,100
Texas,435,Houston,Harris,33645,64,N/A,100
Texas,439,Houston,Harris,85129,45.33,92,100
Texas,443,Houston,Harris,3623,57.33,-97,100
Texas,449,Houston,Harris,8610,68,N/A,100
Texas,56,Houston,Harris,70900,56.67,-78,100
Texas,97,Houston,Harris,37359,54.33,-60,100
Texas,1949,Texas,Montgomery,15000,57.86,13,100
Utah,1077,Utah,Wasatch,19936,63.6,-63,100
Utah,11,Utah,Salt Lake,89507,44.2,70,100
Utah,17,Utah,Utah,112901,49,-15,100
Utah,1,Utah,Washington,24970,53.4,-37,100
Utah,23,Utah,Summit,8530,44.6,-61,100
Utah,25,Utah,Davis,21872,68.25,-33,100
Utah,27,Utah,Washington,92047,60.5,284,100
Utah,29,Utah,Utah,12510,55.8,68,100
Utah,30,Utah,Salt Lake,254971,54.2,2,100
Utah,31,Utah,Utah,35840,48,42,100
Utah,32,Utah,Tooele,36244,62.2,215,100
Utah,34,Utah,Box Elder,12451,48.75,149,100
Utah,3,Utah,Box Elder,21443,57.5,-13,100
Utah,6,Utah,Davis,64533,57.25,-53,100
Utah,7,Utah,Salt Lake,515494,46,612,100
Utah,1736,Utah,Salt Lake,600000,42.29,-3,100
Utah,1077,Utah,Wasatch,5806,85,-75,100
Utah,10,Utah,Cache,9095,44.5,-94,100
Utah,11,Utah,Utah; Salt Lake,94484,52.4,46,100
Utah,12,Utah,Cache,94005,68,87,100
Utah,15,Utah,Grand; San Juan,9896,75.6,426,100
Utah,16,Utah,Weber; Davis,228700,54.75,20,100
Utah,18,Utah,Utah,102624,51.2,122,100
Utah,19,Utah,Carbon,17312,51,776,100
Utah,20,Utah,Utah,21231,47,90,100
Utah,21,Utah,Duchesne,6790,25.8,68998,33
Utah,22,Utah,Summit,23304,39,-23,100
Utah,24,Utah,Davis,84981,58,113,100
Utah,26,Utah,Utah,53313,53.4,-29,100
Utah,28,Utah,Salt Lake,209645,50.5,12,100
Utah,2,Utah,Uintah,29513,49.6,254,100
Utah,33,Utah,Utah,253112,56,29,100
Utah,5,Utah,Iron,32451,69.2,162,100
Utah,9,Utah,Davis; Weber,208850,52.5,606,100
Utah,1708,Utah,Utah,115000,72,-9,100
Vermont,1157,Vermont,Bennington,15000,N/A,N/A,N/A
Vermont,1751,Vermont,Chittenden,22000,N/A,N/A,N/A
Vermont,1753,Vermont,Windsor,4500,N/A,N/A,N/A
Vermont,2267,Vermont,Chittenden,10000,N/A,N/A,N/A
Vermont,2009,Vermont,Chittenden,30000,64.71,2,100
Vermont,2031,Vermont,Washington,10100,50.57,9,100
Vermont,2108,Vermont,Chittenden,16000,73,-5,100
Vermont,1080,Vermont,Chittenden,31000,new site,N/A,N/A
Vermont,1080,Vermont,Chittenden,31000,N/A,N/A,N/A
Vermont,1452,Vermont,Caledonia,3500,N/A,N/A,N/A
Vermont,2261,Vermont,Chittenden,30000,N/A,N/A,N/A
Vermont,701,Vermont,Chittenden,8500,N/A,N/A,N/A
Vermont,770,Vermont,Franklin,7500,N/A,N/A,N/A
Virginia,1160,Virginia,Hanover,20000,N/A,N/A,N/A
