SARS-CoV-2 RNA Levels in Wastewater for Sewershed 509 Treatment plant in New York City
Date generated: Tue Jan 17 2023 12:53:09 GMT-0500 (Eastern Standard Time)
Week Ending Date,Normalized SARS-CoV-2 concentration in wastewater
2022-09-10,1409950284.773
2022-09-11,1427741359.639
2022-09-12,1446198571.754
2022-09-13,1465810893.656
2022-09-14,1487075782.931
2022-09-15,1509470218.591
2022-09-16,1532216060.007
2022-09-17,1554535166.545
2022-09-18,1575649397.576
2022-09-19,1594780612.467
2022-09-20,1611150670.589
2022-09-21,1623981431.308
2022-09-22,1632494753.995
2022-09-23,1635912498.018
2022-09-24,1633456522.745
2022-09-25,1624348687.546
2022-09-26,1608461141.605
2022-09-27,1588267193.364
2022-09-28,1566714452.101
2022-09-29,1546046571.163
2022-09-30,1528331214.915
2022-10-01,1515636047.722
2022-10-02,1510028733.95
2022-10-03,1513004605.849
2022-10-04,1523769667.217
2022-10-05,1540802402.374
2022-10-06,1561960546.182
2022-10-07,1584946646.139
2022-10-08,1607463249.742
2022-10-09,1627212904.491
2022-10-10,1642500229.918
2022-10-11,1654038133.698
2022-10-12,1663097118.796
2022-10-13,1670769781.19
2022-10-14,1678104240.117
2022-10-15,1686148614.81
2022-10-16,1695951024.503
2022-10-17,1708301160.951
2022-10-18,1722955005.983
2022-10-19,1739410113.947
2022-10-20,1757164039.193
2022-10-21,1775714336.071
2022-10-22,1794558558.927
2022-10-23,1813194262.113
2022-10-24,1831112921.015
2022-10-25,1847781695.176
2022-10-26,1863140520.329
2022-10-27,1879044752.802
2022-10-28,1897828604.078
2022-10-29,1921826285.636
2022-10-30,1953372008.958
2022-10-31,1993852841.413
2022-11-01,2040867273.934
2022-11-02,2091584926.294
2022-11-03,2145248510.077
2022-11-04,2201619009.815
2022-11-05,2260457410.043
2022-11-06,2321524695.296
2022-11-07,2384581850.108
2022-11-08,2449389859.012
2022-11-09,2515458942.471
2022-11-10,2581296264.649
2022-11-11,2645158225.642
2022-11-12,2705301225.541
2022-11-13,2759981664.441
2022-11-14,2808199977.718
2022-11-15,2851932741.879
2022-11-16,2893642957.557
2022-11-17,2934763180.735
2022-11-18,2976468356.236
2022-11-19,3019933428.883
2022-11-20,3066333343.499
2022-11-21,3116283518.095
2022-11-22,3168161263.432
2022-11-23,3219784363.457
2022-11-24,3268970602.118
2022-11-25,3313537763.365
2022-11-26,3351303631.144
2022-11-27,3380085989.405
2022-11-28,3397702622.095
2022-11-29,3402757984.605
2022-11-30,3397003218.097
2022-12-01,3383683959.912
2022-12-02,3368877146.348
2022-12-03,3359367538.44
2022-12-04,3361939897.224
2022-12-05,3383378983.736
2022-12-06,3429801785.473
2022-12-07,3504654195.789
2022-12-08,3610064580.358
2022-12-09,3745562288.304
2022-12-10,3910026914.61
2022-12-11,4102338054.26
2022-12-12,4320444186.825
2022-12-13,4558569330.233
2022-12-14,4808108172.032
2022-12-15,5052862539.91
2022-12-16,5274736046.59
2022-12-17,5455632304.794
2022-12-18,5577454927.246
2022-12-19,5629206411.819
2022-12-20,5628284796.996
2022-12-21,5595689390.58
2022-12-22,5538429037.059
2022-12-23,5460014965.087
2022-12-24,5363958403.32
2022-12-25,5253770580.414
2022-12-26,5132962725.026
2022-12-27,5005046065.812
2022-12-28,4873531831.426
2022-12-29,4741931250.526
2022-12-30,4613755551.767
2022-12-31,4492515963.805
2023-01-01,4381723715.296
2023-01-02,4284890034.896
2023-01-03,4205526151.262
2023-01-04,N/A
2023-01-05,N/A
2023-01-06,N/A
2023-01-07,N/A
2023-01-08,N/A
2023-01-09,N/A
2023-01-10,N/A
