SARS-CoV-2 RNA Levels in Wastewater for Sewershed 487 Treatment plant in New York City
Date generated: Tue Jan 17 2023 12:53:26 GMT-0500 (Eastern Standard Time)
Week Ending Date,Normalized SARS-CoV-2 concentration in wastewater
2022-09-10,982872673.143
2022-09-11,966518800.694
2022-09-12,946622835.452
2022-09-13,924317458.829
2022-09-14,900598258.928
2022-09-15,875994601.245
2022-09-16,850919295.625
2022-09-17,825785151.912
2022-09-18,801004979.952
2022-09-19,776991589.59
2022-09-20,754157790.669
2022-09-21,732916393.035
2022-09-22,713680206.533
2022-09-23,696862041.008
2022-09-24,682874706.303
2022-09-25,672131012.265
2022-09-26,664905398.249
2022-09-27,660918821.661
2022-09-28,659734949.483
2022-09-29,660841768.968
2022-09-30,663708347.431
2022-10-01,667803752.19
2022-10-02,672597050.564
2022-10-03,677498608.955
2022-10-04,681683990.114
2022-10-05,684499337.255
2022-10-06,686207919.095
2022-10-07,687302285.731
2022-10-08,688274987.258
2022-10-09,689618573.77
2022-10-10,691708639.836
2022-10-11,694452957.925
2022-10-12,697620213.241
2022-10-13,700890564.048
2022-10-14,703922036.873
2022-10-15,706372658.241
2022-10-16,707900454.681
2022-10-17,708283200.894
2022-10-18,707777664.287
2022-10-19,706760360.441
2022-10-20,705607804.941
2022-10-21,704696513.366
2022-10-22,704403001.3
2022-10-23,705103784.324
2022-10-24,707112117.432
2022-10-25,710488213.26
2022-10-26,715277908.072
2022-10-27,721722575.006
2022-10-28,730112471.419
2022-10-29,740737854.668
2022-10-30,753888982.108
2022-10-31,769495051.661
2022-11-01,786041023.506
2022-11-02,802028853.585
2022-11-03,817472718.649
2022-11-04,832764850.648
2022-11-05,848297481.532
2022-11-06,864462843.253
2022-11-07,881653167.761
2022-11-08,900260687.006
2022-11-09,920631223.727
2022-11-10,942924963.816
2022-11-11,967255683.949
2022-11-12,993737160.806
2022-11-13,1022483171.065
2022-11-14,1053331173.294
2022-11-15,1085013353.617
2022-11-16,1116458250.431
2022-11-17,1148485083.664
2022-11-18,1182385743.627
2022-11-19,1219452120.629
2022-11-20,1260976104.982
2022-11-21,1307821091.305
2022-11-22,1359136491.453
2022-11-23,1413643221.59
2022-11-24,1470062197.881
2022-11-25,1527114336.488
2022-11-26,1583520553.577
2022-11-27,1638001765.312
2022-11-28,1689278887.856
2022-11-29,1735608505.121
2022-11-30,1773389872.012
2022-12-01,1799605873.055
2022-12-02,1815431240.273
2022-12-03,1823088667.563
2022-12-04,1824800848.822
2022-12-05,1822790477.946
2022-12-06,1818833517.746
2022-12-07,1812919006.689
2022-12-08,1804449294.953
2022-12-09,1792266903.9
2022-12-10,1775074397.69
2022-12-11,1751574340.481
2022-12-12,1720904497.248
2022-12-13,1683943436.227
2022-12-14,1642163912.905
2022-12-15,1597674628.508
2022-12-16,1552743270.699
2022-12-17,1509637527.138
2022-12-18,1470625085.487
2022-12-19,1437760312.005
2022-12-20,1412244287.345
2022-12-21,1394826473.837
2022-12-22,1385303146.14
2022-12-23,1383232281.995
2022-12-24,1388171859.143
2022-12-25,1399679855.326
2022-12-26,1417314248.285
2022-12-27,1440633015.76
2022-12-28,1469194135.492
2022-12-29,1502555585.223
2022-12-30,1540275342.694
2022-12-31,1581911385.646
2023-01-01,1627021691.819
2023-01-02,1675164238.955
2023-01-03,1725897004.795
2023-01-04,N/A
2023-01-05,N/A
2023-01-06,N/A
2023-01-07,N/A
2023-01-08,N/A
2023-01-09,N/A
2023-01-10,N/A
