
"Name","ID","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, double mCherry 610))","Max (mCherry double (DCI: 60 its, double mCherry 610))","Mean (mCherry double (DCI: 60 its, double mCherry 610))","Sum (mCherry double (DCI: 60 its, double mCherry 610))","Standard Deviation (mCherry double (DCI: 60 its, double mCherry 610))","Centroid X (µm)","Centroid Y (µm)","Centroid Z (µm)","Item Name","Population","Type","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Number of contained Mito","Compartment ROIs ID"
"ROIs 1","1","215.82","449","822","586.67","1.06e+08","39.17","217","796","304","55100884","35.04","301.61","3142.04","588.21","1.07e+08","97.66","117.65","12040.21","306.72","55593944","163.61","N/A","N/A","N/A","GTY030 25C 20","ROIs","Object","1629","2644","2155.64","18605310","173.99","1993","3412","2683.44","23160796","217.86","10","N/A"
"Mito 9","11","0.0917","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","520.45","965.27","701.12","53986.18","94.55","N/A","N/A","N/A","N/A","N/A","46.94","47.45","1.78","GTY030 25C 20","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 17","19","0.102","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","494.14","951.97","726.72","62497.72","90.44","N/A","N/A","N/A","N/A","N/A","45.8","45.41","2.2","GTY030 25C 20","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 18","20","0.15","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","480.24","883.9","650.85","82006.68","85.7","N/A","N/A","N/A","N/A","N/A","47.49","48.36","2.12","GTY030 25C 20","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 19","21","0.901","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","411","1070.28","726.16","549704.13","108.28","N/A","N/A","N/A","N/A","N/A","48.21","50.11","2.5","GTY030 25C 20","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 23","25","0.0691","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","489.99","820.18","680.54","39471.3","72.5","N/A","N/A","N/A","N/A","N/A","48.15","44.8","2.31","GTY030 25C 20","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 30","32","0.127","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","431.12","830.68","634.06","67844.82","91.88","N/A","N/A","N/A","N/A","N/A","46.79","44.74","2.71","GTY030 25C 20","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 31","33","1.01","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","418.4","942.71","659.46","559220.25","104.56","N/A","N/A","N/A","N/A","N/A","45.72","46.86","2.64","GTY030 25C 20","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 44","46","0.102","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","448.23","888.05","636.65","54751.55","94.61","N/A","N/A","N/A","N/A","N/A","48.76","47.06","2.88","GTY030 25C 20","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 55","57","0.232","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","444.19","907.67","611.57","119255.73","98.82","N/A","N/A","N/A","N/A","N/A","48.89","45.9","3.02","GTY030 25C 20","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 56","58","0.149","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","495.68","806.66","636.61","79576.05","73.8","N/A","N/A","N/A","N/A","N/A","47.23","48.31","3.41","GTY030 25C 20","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"ROIs 2","2","1.65","528","756","634.02","878747","35.26","249","384","313.53","434550","21.82","441.7","1058.94","666.42","923658.13","113.94","202.73","482.31","320.42","444095.22","42.28","N/A","N/A","N/A","GTY030 25C 20","ROIs","Object","1990","2429","2218.06","146392","115.84","2475","3011","2735.47","180541","146.58","0","N/A"
