
"Name","ID","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, double mCherry 610))","Max (mCherry double (DCI: 60 its, double mCherry 610))","Mean (mCherry double (DCI: 60 its, double mCherry 610))","Sum (mCherry double (DCI: 60 its, double mCherry 610))","Standard Deviation (mCherry double (DCI: 60 its, double mCherry 610))","Centroid X (µm)","Centroid Y (µm)","Centroid Z (µm)","Item Name","Population","Type","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Number of contained Mito","Compartment ROIs ID"
"ROIs 1","1","198.61","434","966","585.67","97691927","38.78","213","968","310.19","51739955","65.79","330.21","4062.44","586.19","97777440","90.89","72.77","6830.06","317.9","53026624","230.14","N/A","N/A","N/A","GTY030 25C 3","ROIs","Object","1491","2874","2115.05","16799850","190.46","2073","3684","2682.86","21309987","234.02","8","N/A"
"Mito 1","3","0.244","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","508.89","679.42","596.15","122209.95","38.98","N/A","N/A","N/A","N/A","N/A","17.95","35.37","0.553","GTY030 25C 3","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 12","14","0.639","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","474.87","2371.62","781.35","419585.41","261.79","N/A","N/A","N/A","N/A","N/A","17.71","34.21","2.55","GTY030 25C 3","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 36","38","0.0262","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","449.11","587.57","530.53","11671.66","37.36","N/A","N/A","N/A","N/A","N/A","19.24","38.01","3.18","GTY030 25C 3","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 42","44","0.0714","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","425.07","737.62","570.2","34211.84","77.33","N/A","N/A","N/A","N/A","N/A","20.99","35.92","3.59","GTY030 25C 3","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 52","54","0.0226","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","553.12","727.84","659.16","12524.04","48.93","N/A","N/A","N/A","N/A","N/A","18.47","36.32","4.45","GTY030 25C 3","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 54","56","0.0131","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","617.4","678.15","652.19","7174.14","17.63","N/A","N/A","N/A","N/A","N/A","18.42","36.02","4.77","GTY030 25C 3","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 55","57","7.11","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","369.08","1000.09","638.62","3815745.25","90.18","N/A","N/A","N/A","N/A","N/A","19.71","36.49","2.67","GTY030 25C 3","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 56","58","0.0143","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","564.09","712.76","628.79","7545.51","47.01","N/A","N/A","N/A","N/A","N/A","19.15","36.29","5.23","GTY030 25C 3","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"ROIs 2","2","2","513","711","603.21","1013390","32.04","235","354","295.59","496592","19.07","378.33","893.49","615.44","1033938.75","74.77","181.89","458.58","286.98","482118.53","38.79","N/A","N/A","N/A","GTY030 25C 3","ROIs","Object","2016","2265","2158.59","172687","63.05","2562","2911","2731.74","218539","90.66","0","N/A"
