
"Name","ID","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, double mCherry 610))","Max (mCherry double (DCI: 60 its, double mCherry 610))","Mean (mCherry double (DCI: 60 its, double mCherry 610))","Sum (mCherry double (DCI: 60 its, double mCherry 610))","Standard Deviation (mCherry double (DCI: 60 its, double mCherry 610))","Centroid X (µm)","Centroid Y (µm)","Centroid Z (µm)","Item Name","Population","Type","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Number of contained Mito","Compartment ROIs ID"
"ROIs 1","1","569.73","550","1028","733.25","3.51e+08","53.3","187","1520","333.61","1.60e+08","127.75","311.18","2311.01","727.73","3.48e+08","134.86","0.0658","16582.01","340.03","1.63e+08","453.9","N/A","N/A","N/A","GTY030 36C 8","ROIs","Object","1468","3122","2092.34","47673877","198.15","1841","3883","2605.46","59365428","245.78","9","N/A"
"Mito 2","4","0.326","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","722.14","1525.01","1109.42","303981.06","162.68","N/A","N/A","N/A","N/A","N/A","81.17","25.77","1.41","GTY030 36C 8","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 7","9","0.125","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","827.85","1472.57","1163.63","122180.95","149.03","N/A","N/A","N/A","N/A","N/A","78.56","30.37","1.47","GTY030 36C 8","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 11","13","0.0572","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","938.39","1399.08","1148.86","55145.11","102.75","N/A","N/A","N/A","N/A","N/A","78.28","28.49","1.51","GTY030 36C 8","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 12","14","3.13","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","612.2","2311.01","1185.28","3119646.5","253.82","N/A","N/A","N/A","N/A","N/A","80.9","30.4","1.79","GTY030 36C 8","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 13","15","4.92","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","430.52","1978.46","1091.43","4505408","248.94","N/A","N/A","N/A","N/A","N/A","78.12","30.12","2.77","GTY030 36C 8","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 19","21","0.0202","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","925.57","1135.58","1050.61","17860.4","64.4","N/A","N/A","N/A","N/A","N/A","78.86","33.06","1.69","GTY030 36C 8","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 23","25","3.35","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","599.96","2290.24","1209.86","3405767.75","292.15","N/A","N/A","N/A","N/A","N/A","80.96","27.14","2.64","GTY030 36C 8","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 30","32","0.733","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","552.46","2298.19","1150.47","708687.13","283.94","N/A","N/A","N/A","N/A","N/A","79.43","25.1","3.21","GTY030 36C 8","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 42","44","0.145","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","728.69","1670.75","1051.72","128309.38","219.34","N/A","N/A","N/A","N/A","N/A","77.5","31.34","3.59","GTY030 36C 8","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"ROIs 2","2","3.4","629","910","753.63","2152371","39.43","239","435","320.38","915009","36.76","489.22","1068.98","747.56","2135037.75","90.04","82.6","679.92","268.95","768116.38","99.2","N/A","N/A","N/A","GTY030 36C 8","ROIs","Object","2113","2254","2187.89","297553","26.56","2590","2813","2714.35","369151","42.8","0","N/A"
