
"Name","ID","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, double mCherry 610))","Max (mCherry double (DCI: 60 its, double mCherry 610))","Mean (mCherry double (DCI: 60 its, double mCherry 610))","Sum (mCherry double (DCI: 60 its, double mCherry 610))","Standard Deviation (mCherry double (DCI: 60 its, double mCherry 610))","Centroid X (µm)","Centroid Y (µm)","Centroid Z (µm)","Item Name","Population","Type","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Number of contained Mito","Compartment ROIs ID"
"ROIs 1","1","387.15","573","1197","769.1","2.50e+08","70.88","188","984","296.62","96444828","79.95","459.88","2706.85","769.73","2.50e+08","142.26","49.9","5344.39","298.43","97032528","199.73","N/A","N/A","N/A","GTY030 36C","ROIs","Object","1362","3464","2063.45","31948430","305.35","1697","4351","2586.35","40044524","384.19","15","N/A"
"Mito 3","5","0.132","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","775.63","1041.58","882.99","98012.31","64.63","N/A","N/A","N/A","N/A","N/A","67.58","30.16","1.23","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 34","36","0.0119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","850.65","970.8","904.15","9041.49","36.42","N/A","N/A","N/A","N/A","N/A","68.12","32.34","1.8","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 42","44","0.0333","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","691.65","937.54","840.94","23546.19","60.98","N/A","N/A","N/A","N/A","N/A","66.51","31.58","2.26","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 55","57","0.364","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","665.23","1469.01","932.91","285471.16","176.39","N/A","N/A","N/A","N/A","N/A","66.63","31.05","3.54","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 65","67","0.0238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","688.19","808.82","756.7","15134","34.08","N/A","N/A","N/A","N/A","N/A","70.17","30.73","4.39","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 67","69","0.0119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","681.96","758.01","719.06","7190.63","25.6","N/A","N/A","N/A","N/A","N/A","69.66","31.9","4.59","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 68","70","0.0179","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","769.37","901.71","830.08","12451.25","32.2","N/A","N/A","N/A","N/A","N/A","68.49","29.33","4.98","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 96","98","0.0369","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","798.46","933.51","882.41","27354.83","34.4","N/A","N/A","N/A","N/A","N/A","67.8","27.72","6","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 97","99","0.0131","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","857.68","951.2","897.81","9875.93","30.71","N/A","N/A","N/A","N/A","N/A","68.47","28.2","6","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 98","100","0.031","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","798.44","859.9","820.7","21338.17","15.49","N/A","N/A","N/A","N/A","N/A","71.35","28.95","6","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 99","101","34.29","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","588.82","2387.32","1012.31","29149580","239.85","N/A","N/A","N/A","N/A","N/A","68.97","30.08","3.49","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 100","102","0.0214","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","759.26","855.71","802.72","14448.97","32.92","N/A","N/A","N/A","N/A","N/A","70.94","30.96","6","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 101","103","0.0191","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","816.07","954.13","892.43","14278.83","36.81","N/A","N/A","N/A","N/A","N/A","70.49","31.24","6","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 103","105","0.0131","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","819.78","967.53","880.3","9683.31","45.37","N/A","N/A","N/A","N/A","N/A","66.57","31.9","6","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 106","108","0.0119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","888.62","936.77","907.81","9078.08","14.82","N/A","N/A","N/A","N/A","N/A","66.79","32.68","6","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"ROIs 2","2","1.05","636","887","748.47","660150","40.61","216","419","280.92","247770","31.05","547.83","893.68","717.76","633064.06","64.97","151.51","435.35","252.62","222808.94","48.01","N/A","N/A","N/A","GTY030 36C","ROIs","Object","1606","1982","1736.19","72920","85.5","1971","2479","2151.48","90362","117.49","0","N/A"
