
"Name","ID","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, double mCherry 610))","Max (mCherry double (DCI: 60 its, double mCherry 610))","Mean (mCherry double (DCI: 60 its, double mCherry 610))","Sum (mCherry double (DCI: 60 its, double mCherry 610))","Standard Deviation (mCherry double (DCI: 60 its, double mCherry 610))","Centroid X (µm)","Centroid Y (µm)","Centroid Z (µm)","Item Name","Population","Type","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Number of contained Mito","Compartment ROIs ID"
"ROIs 1","1","246.95","428","763","574.36","1.19e+08","39.55","231","1977","408.38","84696775","152.99","220.8","1921.02","569.5","1.18e+08","109.8","0.000001","26305.59","429.12","88997216","804.03","N/A","N/A","N/A","GTY030 25C 18","ROIs","Object","1406","2896","2085.14","20592796","218.24","1788","3751","2671.35","26382234","280.22","7","N/A"
"Mito 6","8","0.102","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","582.26","1016.38","746.51","64200.01","118.88","N/A","N/A","N/A","N/A","N/A","15.04","15.26","1.07","GTY030 25C 18","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 8","10","0.705","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","485.49","912.59","668.32","395644.47","81.51","N/A","N/A","N/A","N/A","N/A","18.01","15.84","0.771","GTY030 25C 18","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 15","17","0.0238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","639.08","808.68","716.9","14338","41.64","N/A","N/A","N/A","N/A","N/A","13.75","16.93","1.08","GTY030 25C 18","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 59","61","0.114","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","417.27","932.77","653.19","62706.1","114.61","N/A","N/A","N/A","N/A","N/A","15.47","15.15","3.44","GTY030 25C 18","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 61","63","1.08","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","394.32","1206.54","743.31","672695.44","154.79","N/A","N/A","N/A","N/A","N/A","13.52","16.16","2.25","GTY030 25C 18","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 62","64","1.51","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","348.59","1209.96","652.95","827942.75","150.19","N/A","N/A","N/A","N/A","N/A","18.57","17.15","3.27","GTY030 25C 18","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 63","65","1.11","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","348.96","1089.77","696.39","648334.88","121.64","N/A","N/A","N/A","N/A","N/A","19.42","15.8","2.77","GTY030 25C 18","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"ROIs 2","2","1.35","481","683","574.63","651635","32.21","316","579","410.98","466048","45.56","312.86","930.65","570.37","646803.75","114.92","55.68","957.03","307.91","349172.88","131.71","N/A","N/A","N/A","GTY030 25C 18","ROIs","Object","1855","2049","1960.37","105860","50.82","2399","2654","2523.35","136261","60.81","0","N/A"
