
"Name","ID","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, double mCherry 610))","Max (mCherry double (DCI: 60 its, double mCherry 610))","Mean (mCherry double (DCI: 60 its, double mCherry 610))","Sum (mCherry double (DCI: 60 its, double mCherry 610))","Standard Deviation (mCherry double (DCI: 60 its, double mCherry 610))","Centroid X (µm)","Centroid Y (µm)","Centroid Z (µm)","Item Name","Population","Type","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Number of contained Mito","Compartment ROIs ID"
"ROIs 1","1","242.65","585","2003","811.58","1.65e+08","91.31","219","1937","457.59","93248676","194.18","258.07","23406.54","825.99","1.68e+08","337.72","2.96","12242.77","492.68","1.00e+08","688.78","N/A","N/A","N/A","GTY030 36C 9","ROIs","Object","1388","3183","1948.6","18909203","268.04","1833","4278","2610.83","25335517","351.75","4","N/A"
"Mito 11","13","1.12","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","644.58","2612.56","1222.09","1145099.75","330.98","N/A","N/A","N/A","N/A","N/A","44.86","37.4","1.94","GTY030 36C 9","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 19","21","0.204","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","810.21","2107.43","1335.91","228441.17","295","N/A","N/A","N/A","N/A","N/A","45.76","32.69","2.19","GTY030 36C 9","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 35","37","3.12","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","414.41","5399.99","1307.43","3430690.5","529.44","N/A","N/A","N/A","N/A","N/A","46.12","35.82","3.16","GTY030 36C 9","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 52","54","11.77","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","617.94","3385.89","1501.54","14838258","499.09","N/A","N/A","N/A","N/A","N/A","48.63","34.16","2.61","GTY030 36C 9","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"ROIs 2","2","2.5","676","925","794.76","1668990","37.46","262","547","394.29","828012","50.41","569.48","1084.7","781.69","1641539.75","88.07","65.59","634.49","306.58","643821.88","131.15","N/A","N/A","N/A","GTY030 36C 9","ROIs","Object","1807","2160","2003.91","200391","78.85","2444","2861","2645.63","264563","109.05","0","N/A"
