
"Name","ID","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, double mCherry 610))","Max (mCherry double (DCI: 60 its, double mCherry 610))","Mean (mCherry double (DCI: 60 its, double mCherry 610))","Sum (mCherry double (DCI: 60 its, double mCherry 610))","Standard Deviation (mCherry double (DCI: 60 its, double mCherry 610))","Centroid X (µm)","Centroid Y (µm)","Centroid Z (µm)","Item Name","Population","Type","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Number of contained Mito","Compartment ROIs ID"
"ROIs 1","1","268.95","550","1256","734.87","1.66e+08","64.62","182","724","254.9","57576193","44.36","440.55","2953.11","737.02","1.66e+08","145.05","60.21","4473.45","254","57372956","121.51","N/A","N/A","N/A","GTY030 36C","ROIs","Object","1459","2829","2034.65","21884684","211.98","1823","3596","2607.34","28044598","266.75","9","N/A"
"Mito 26","28","0.0143","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","886.39","973.5","924.65","11095.82","26.43","N/A","N/A","N/A","N/A","N/A","71.59","54.99","1.38","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 60","62","0.0226","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","812.02","916.65","872.4","16575.59","24.49","N/A","N/A","N/A","N/A","N/A","70.93","55.23","1.45","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 61","63","0.0191","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","685.45","804.42","735.28","11764.5","32.24","N/A","N/A","N/A","N/A","N/A","67.52","55.88","1.69","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 91","93","0.0131","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","728.58","831.96","765.88","8424.72","29.17","N/A","N/A","N/A","N/A","N/A","70.53","54.11","1.94","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 132","134","0.0119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","884.76","1053.31","961.34","9613.36","55.78","N/A","N/A","N/A","N/A","N/A","70.7","56.15","2.43","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 448","450","0.0262","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","730.38","806.55","771.85","16980.75","20.1","N/A","N/A","N/A","N/A","N/A","71.84","53.9","6","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 454","456","0.025","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","781.67","844.2","810.37","17017.86","16.13","N/A","N/A","N/A","N/A","N/A","72.19","55.26","6","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 475","477","16.52","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","602.53","2953.11","1033.96","14349276","351.77","N/A","N/A","N/A","N/A","N/A","71.51","56.98","4.22","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 477","479","0.0191","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","791.45","867.19","834.23","13347.65","19.81","N/A","N/A","N/A","N/A","N/A","71.35","58.7","6","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"ROIs 2","2","1.33","651","878","745.15","829355","35.29","203","310","245.5","273247","16.26","526.01","1002.49","752.56","837593.81","80.03","127.1","311.66","235.25","261829.38","38.92","N/A","N/A","N/A","GTY030 36C","ROIs","Object","1680","1921","1777.13","94188","56.07","2121","2442","2269.32","120274","69.56","0","N/A"
