
"Name","ID","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, double mCherry 610))","Max (mCherry double (DCI: 60 its, double mCherry 610))","Mean (mCherry double (DCI: 60 its, double mCherry 610))","Sum (mCherry double (DCI: 60 its, double mCherry 610))","Standard Deviation (mCherry double (DCI: 60 its, double mCherry 610))","Centroid X (µm)","Centroid Y (µm)","Centroid Z (µm)","Item Name","Population","Type","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Number of contained Mito","Compartment ROIs ID"
"ROIs 1","1","249.67","433","1781","598.69","1.26e+08","59.66","217","2385","419.49","87960771","155.78","133.62","18802.64","593.08","1.24e+08","268.97","0.000001","25927.23","445.48","93410584","953.18","N/A","N/A","N/A","GTY030 25C 18","ROIs","Object","1551","2756","2143.17","21399537","205.41","1899","3496","2674.89","26708761","256.12","8","N/A"
"Mito 14","16","0.28","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","519.36","886.03","682.06","160283.73","79.02","N/A","N/A","N/A","N/A","N/A","51.29","47.84","0.814","GTY030 25C 18","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 25","27","0.161","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","586.95","1183.58","873.24","117887.29","115.38","N/A","N/A","N/A","N/A","N/A","54.14","50.08","1.52","GTY030 25C 18","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 28","30","0.668","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","207.24","4634.44","804.57","451362.94","415.11","N/A","N/A","N/A","N/A","N/A","52.78","48.8","2.07","GTY030 25C 18","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 33","35","0.772","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","455.88","1312.68","807.91","523528.03","162.76","N/A","N/A","N/A","N/A","N/A","54.44","47.69","2.32","GTY030 25C 18","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 39","41","0.688","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","437.93","1552.13","840.57","485852.13","202.66","N/A","N/A","N/A","N/A","N/A","52.03","45.23","2.53","GTY030 25C 18","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 40","42","1.03","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","450.75","1252","771.15","667815.5","144.25","N/A","N/A","N/A","N/A","N/A","50.35","46.96","1.9","GTY030 25C 18","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 49","51","0.324","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","384.78","1513.26","704.7","191677.86","201.34","N/A","N/A","N/A","N/A","N/A","54.64","49.98","2.91","GTY030 25C 18","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 56","58","0.978","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","357.52","1412.54","697.79","572888.63","191.92","N/A","N/A","N/A","N/A","N/A","54.13","51.41","3.02","GTY030 25C 18","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"ROIs 2","2","1.88","514","790","626.18","986229","44.17","254","476","357.57","563168","43.83","362.93","993.38","623.47","981972.69","106.76","83.47","770.41","306.75","483138.84","124.07","N/A","N/A","N/A","GTY030 25C 18","ROIs","Object","1987","2320","2178.96","163422","87.46","2448","2918","2717.33","203800","104.73","0","N/A"
