
"Name","ID","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, double mCherry 610))","Max (mCherry double (DCI: 60 its, double mCherry 610))","Mean (mCherry double (DCI: 60 its, double mCherry 610))","Sum (mCherry double (DCI: 60 its, double mCherry 610))","Standard Deviation (mCherry double (DCI: 60 its, double mCherry 610))","Centroid X (µm)","Centroid Y (µm)","Centroid Z (µm)","Item Name","Population","Type","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Number of contained Mito","Compartment ROIs ID"
"ROIs 1","1","322.29","566","1842","765.28","2.07e+08","63.52","183","913","300.94","81454695","68.8","137.84","18045.43","766.02","2.07e+08","244.82","6.02","5979.25","308.81","83586080","278","N/A","N/A","N/A","GTY030 36C 9","ROIs","Object","1217","3484","2003.12","25818183","356.62","1550","4661","2562.09","33022715","458.38","5","N/A"
"Mito 8","10","0.154","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1029.06","1851.56","1422.38","183486.39","194.12","N/A","N/A","N/A","N/A","N/A","21.75","43.15","1.63","GTY030 36C 9","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 14","16","0.611","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","583.01","2560.7","1496.59","767752.94","470.44","N/A","N/A","N/A","N/A","N/A","20.45","44.36","2.48","GTY030 36C 9","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 27","29","3.58","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","610.92","2786.66","1497.56","4501661.5","380.78","N/A","N/A","N/A","N/A","N/A","19.77","41.43","2.75","GTY030 36C 9","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 39","41","1.11","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","563.48","2130.91","1211.76","1125720.5","298.56","N/A","N/A","N/A","N/A","N/A","16.08","44.16","2.94","GTY030 36C 9","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 46","48","0.081","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","596.85","1353.77","1049.1","71338.92","189.68","N/A","N/A","N/A","N/A","N/A","17.02","43.99","3.31","GTY030 36C 9","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"ROIs 2","2","2.68","637","935","773.28","1737551","42.05","219","411","304.94","685211","36.38","446.83","1045.19","747.18","1678916.75","93.41","89.18","536.76","256.96","577386.5","90.63","N/A","N/A","N/A","GTY030 36C 9","ROIs","Object","2107","2356","2232.5","238878","55.73","2665","2962","2816.81","301399","60.74","0","N/A"
