
"Name","ID","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, double mCherry 610))","Max (mCherry double (DCI: 60 its, double mCherry 610))","Mean (mCherry double (DCI: 60 its, double mCherry 610))","Sum (mCherry double (DCI: 60 its, double mCherry 610))","Standard Deviation (mCherry double (DCI: 60 its, double mCherry 610))","Centroid X (µm)","Centroid Y (µm)","Centroid Z (µm)","Item Name","Population","Type","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Number of contained Mito","Compartment ROIs ID"
"ROIs 1","1","449.11","569","2455","762.09","2.87e+08","58","185","553","269.65","1.02e+08","34.27","407.96","25561.68","758.29","2.86e+08","208.38","70.24","4500.81","269.76","1.02e+08","134.24","N/A","N/A","N/A","GTY030 36C","ROIs","Object","1496","2911","2041.12","36660491","206.73","1908","3734","2615.58","46978480","262.91","21","N/A"
"Mito 2","4","0.0119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1052.69","1124.25","1087.09","10870.86","23.11","N/A","N/A","N/A","N/A","N/A","20.25","18.3","0.78","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 10","12","0.0929","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","802.42","1093.1","968.3","75527.46","70.91","N/A","N/A","N/A","N/A","N/A","15.13","18.48","1.27","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 11","13","0.667","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","751.81","1595.08","1038.69","581665.63","169.61","N/A","N/A","N/A","N/A","N/A","16.19","18.49","1.92","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 12","14","0.799","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","669.87","2081.22","1147.14","769729.88","287.45","N/A","N/A","N/A","N/A","N/A","20.63","18.91","2.42","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 16","18","0.305","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","673.35","1439.31","991.65","253862.5","158.72","N/A","N/A","N/A","N/A","N/A","17.41","16.19","2.09","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 22","24","0.195","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","613.42","1308.95","1051.75","172486.41","143.71","N/A","N/A","N/A","N/A","N/A","15.98","13.41","2.37","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 47","49","0.55","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","607.94","1425.39","927.29","428408","174.39","N/A","N/A","N/A","N/A","N/A","14.42","18.35","3.01","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 51","53","4.56","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","645.93","2458.44","999.29","3827278","222.21","N/A","N/A","N/A","N/A","N/A","19.04","13.07","2.93","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 53","55","3.36","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","623.37","1946.58","1085.45","3067470","214.96","N/A","N/A","N/A","N/A","N/A","18.76","18.51","2.3","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 57","59","0.427","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","680.7","1568.98","993.58","356694.47","176.1","N/A","N/A","N/A","N/A","N/A","18.35","17.3","3.89","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 58","60","0.791","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","705.33","1384.2","977.09","648785.63","134.93","N/A","N/A","N/A","N/A","N/A","16.22","17.38","3.23","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 70","72","0.0155","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","809.66","869.41","843.45","10964.85","14.84","N/A","N/A","N/A","N/A","N/A","18.19","17.47","5.17","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 72","74","0.0179","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","729.57","871.84","820.4","12306.03","37.15","N/A","N/A","N/A","N/A","N/A","18.87","14.17","5.48","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 73","75","0.0321","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","779.09","927.44","851.92","23001.81","42.71","N/A","N/A","N/A","N/A","N/A","19.14","19.06","5.77","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 75","77","2.08","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","451.7","25561.68","1164.99","2038726.38","1186.42","N/A","N/A","N/A","N/A","N/A","19.94","15.65","2.57","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 85","87","0.0774","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","678.27","1033","849.23","55200","75.81","N/A","N/A","N/A","N/A","N/A","19.26","12.19","5.81","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 86","88","0.025","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","860.42","967.32","910.17","19113.55","29.31","N/A","N/A","N/A","N/A","N/A","18.74","13.95","6","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 87","89","0.0298","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","871.16","973.72","919.51","22987.75","30.8","N/A","N/A","N/A","N/A","N/A","18.42","17.26","6","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 90","92","0.0452","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","793.82","961.12","908.43","34520.23","38.56","N/A","N/A","N/A","N/A","N/A","18.13","18.63","5.97","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 91","93","0.0167","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","903.63","1028.8","964.51","13503.09","42.74","N/A","N/A","N/A","N/A","N/A","19.35","18.75","6","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 92","94","0.0143","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","894.46","954.48","920.52","11046.29","21.11","N/A","N/A","N/A","N/A","N/A","18.83","18.86","6","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"ROIs 2","2","0.075","680","875","764.41","48158","38.31","213","297","260.21","16393","19.5","602.57","911.79","752.55","47410.8","73.92","177.18","303.8","253.43","15965.82","27.98","N/A","N/A","N/A","GTY030 36C","ROIs","Object","1763","1921","1838.33","5515","64.71","2253","2502","2362.33","7087","103.89","0","N/A"
