
"Name","ID","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, double mCherry 610))","Max (mCherry double (DCI: 60 its, double mCherry 610))","Mean (mCherry double (DCI: 60 its, double mCherry 610))","Sum (mCherry double (DCI: 60 its, double mCherry 610))","Standard Deviation (mCherry double (DCI: 60 its, double mCherry 610))","Centroid X (µm)","Centroid Y (µm)","Centroid Z (µm)","Item Name","Population","Type","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Number of contained Mito","Compartment ROIs ID"
"ROIs 1","1","351.52","573","1223","775.24","2.29e+08","76.15","177","702","268.34","79218469","45.83","453.06","2521.88","764.32","2.26e+08","146.93","13.95","5093.63","264.93","78210824","153.31","N/A","N/A","N/A","GTY030 36C 2","ROIs","Object","1378","2799","1988.48","27954075","204.25","1756","3613","2569.19","36117682","262.11","14","N/A"
"Mito 4","6","0.0548","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","893.12","1113.71","1012.47","46573.71","52.21","N/A","N/A","N/A","N/A","N/A","5.39","46.65","0.893","GTY030 36C 2","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 7","9","0.0417","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","905.8","1092.21","1012.61","35441.35","45.47","N/A","N/A","N/A","N/A","N/A","5.57","47.59","1.13","GTY030 36C 2","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 18","20","0.63","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","693.79","1887.72","1149.2","607927","229.85","N/A","N/A","N/A","N/A","N/A","7.01","42.34","2.06","GTY030 36C 2","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 23","25","0.0524","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1056.42","1198.76","1138.05","50074.39","35.14","N/A","N/A","N/A","N/A","N/A","6.37","47.77","1.64","GTY030 36C 2","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 31","33","0.0655","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","691.32","964.53","871.69","47943.01","75.47","N/A","N/A","N/A","N/A","N/A","8.79","46.1","2.57","GTY030 36C 2","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 32","34","0.412","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","710.96","1794.67","1068.87","369827.38","244.14","N/A","N/A","N/A","N/A","N/A","5.84","48.21","3.23","GTY030 36C 2","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 36","38","0.504","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","608.76","2068.84","1372.33","580497.56","387.95","N/A","N/A","N/A","N/A","N/A","7.1","48.31","3.04","GTY030 36C 2","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 43","45","0.0155","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1112.71","1228.09","1192.51","15502.61","34.79","N/A","N/A","N/A","N/A","N/A","5.81","46.13","2.75","GTY030 36C 2","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 57","59","0.0726","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","715.69","1041.6","839.28","51196.16","89.58","N/A","N/A","N/A","N/A","N/A","5.47","45.73","3.81","GTY030 36C 2","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 64","66","0.0143","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","731.46","864.66","811.9","9742.76","47.15","N/A","N/A","N/A","N/A","N/A","8.17","47.08","5.2","GTY030 36C 2","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 69","71","5.26","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","577","2521.88","1230.92","5439455.5","344.59","N/A","N/A","N/A","N/A","N/A","7.06","46.13","3.49","GTY030 36C 2","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 77","79","0.131","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","843.86","1022.38","921.2","101332.46","43.96","N/A","N/A","N/A","N/A","N/A","5.94","46.45","6","GTY030 36C 2","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 78","80","0.0167","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","822.99","960.25","884.53","12383.44","42.39","N/A","N/A","N/A","N/A","N/A","8.3","47.12","6","GTY030 36C 2","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 79","81","0.0179","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","867.99","938.31","899.51","13492.66","20.21","N/A","N/A","N/A","N/A","N/A","6.97","48.15","6","GTY030 36C 2","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"ROIs 2","2","2.13","687","988","806.61","1439793","38.63","215","348","261.63","467006","19","571.64","1115.36","805.52","1437852.88","123.12","149.26","389.71","242.91","433591.53","45.84","N/A","N/A","N/A","GTY030 36C 2","ROIs","Object","1756","2030","1903.14","161767","66.12","2228","2638","2437.99","207229","90.24","0","N/A"
