
"Name","ID","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, double mCherry 610))","Max (mCherry double (DCI: 60 its, double mCherry 610))","Mean (mCherry double (DCI: 60 its, double mCherry 610))","Sum (mCherry double (DCI: 60 its, double mCherry 610))","Standard Deviation (mCherry double (DCI: 60 its, double mCherry 610))","Centroid X (µm)","Centroid Y (µm)","Centroid Z (µm)","Item Name","Population","Type","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Number of contained Mito","Compartment ROIs ID"
"ROIs 1","1","326.84","555","1119","750.07","2.06e+08","59.99","190","818","314.1","86216836","71.38","291.94","3843.3","749.78","2.06e+08","185.77","70.37","4235.27","317.57","87170656","218.33","N/A","N/A","N/A","GTY030 36C 6","ROIs","Object","1426","2765","2063.21","26968169","219.92","1819","3635","2611.12","34129891","278.89","6","N/A"
"Mito 3","5","0.0238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","644.12","943.27","798.52","15970.46","93.84","N/A","N/A","N/A","N/A","N/A","60.71","24.43","1.52","GTY030 36C 6","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 10","12","0.0619","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","542.07","862.32","720.36","37458.85","66.42","N/A","N/A","N/A","N/A","N/A","62.96","28.61","5.23","GTY030 36C 6","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 26","28","0.0179","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","703.33","880.33","791.38","11870.74","49.83","N/A","N/A","N/A","N/A","N/A","56.09","21.3","6","GTY030 36C 6","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 28","30","0.0155","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","664.3","810.19","726.86","9449.14","45.97","N/A","N/A","N/A","N/A","N/A","61.77","23.31","6","GTY030 36C 6","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 29","31","0.0131","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","667.7","843.97","772.6","8498.62","50.14","N/A","N/A","N/A","N/A","N/A","63","23.82","6","GTY030 36C 6","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 35","37","86.22","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","338.84","3843.3","877.31","63529196","250.32","N/A","N/A","N/A","N/A","N/A","59.6","25.71","4.29","GTY030 36C 6","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"ROIs 2","2","1.48","606","839","705.14","873669","36.86","198","326","251.49","311600","19.49","384.39","1113.23","686.52","850602","124.3","159.47","326.75","232.97","288644.59","35.44","N/A","N/A","N/A","GTY030 36C 6","ROIs","Object","1606","2398","1842.32","108697","199.97","2010","2983","2319.19","136832","237.05","0","N/A"
