
"Name","ID","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, double mCherry 610))","Max (mCherry double (DCI: 60 its, double mCherry 610))","Mean (mCherry double (DCI: 60 its, double mCherry 610))","Sum (mCherry double (DCI: 60 its, double mCherry 610))","Standard Deviation (mCherry double (DCI: 60 its, double mCherry 610))","Centroid X (µm)","Centroid Y (µm)","Centroid Z (µm)","Item Name","Population","Type","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Number of contained Mito","Compartment ROIs ID"
"ROIs 1","1","263.72","438","829","570.62","1.26e+08","35.59","211","584","291.49","64562200","32.77","263.18","3512.46","568.4","1.26e+08","91.05","44.25","4441.36","288.76","63956884","126.98","N/A","N/A","N/A","GTY030 25C 20","ROIs","Object","1328","2870","2111.83","22273479","187.65","2011","4025","2701.04","28487892","221.39","8","N/A"
"Mito 12","14","0.05","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","546.57","758.57","629.64","26444.71","49.07","N/A","N/A","N/A","N/A","N/A","72.03","52.55","1.84","GTY030 25C 20","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 20","22","0.0143","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","645.25","789.12","691.33","8296.02","48.11","N/A","N/A","N/A","N/A","N/A","71.04","53.2","1.8","GTY030 25C 20","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 24","26","0.274","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","539.02","928.99","690.57","158830.25","74.16","N/A","N/A","N/A","N/A","N/A","71.6","50.95","2.18","GTY030 25C 20","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 25","27","0.0357","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","567.96","966.63","741.99","22259.61","100.04","N/A","N/A","N/A","N/A","N/A","70.95","53.58","2.24","GTY030 25C 20","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 26","28","0.117","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","561.01","877.63","736.24","72151.64","78.31","N/A","N/A","N/A","N/A","N/A","73.91","54.71","2.53","GTY030 25C 20","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 34","36","1.38","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","380.88","2557.45","649.36","750012.38","135.39","N/A","N/A","N/A","N/A","N/A","74.89","52.88","3.3","GTY030 25C 20","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 57","59","0.187","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","454.27","1007.71","648.38","101794.91","115.48","N/A","N/A","N/A","N/A","N/A","74.06","50.5","3.43","GTY030 25C 20","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 58","60","0.919","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","376","956.76","651.35","502843.53","108.52","N/A","N/A","N/A","N/A","N/A","72.6","55.04","3.07","GTY030 25C 20","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"ROIs 2","2","1.3","478","712","586.94","640936","33.16","222","397","284.07","310199","26.81","342.83","912.56","583.41","637081.19","79.89","143.89","510.93","263.98","288265.25","59.48","N/A","N/A","N/A","GTY030 25C 20","ROIs","Object","2037","2341","2228.15","115864","73.48","2632","3000","2833.9","147363","95.58","0","N/A"
