
"Name","ID","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, double mCherry 610))","Max (mCherry double (DCI: 60 its, double mCherry 610))","Mean (mCherry double (DCI: 60 its, double mCherry 610))","Sum (mCherry double (DCI: 60 its, double mCherry 610))","Standard Deviation (mCherry double (DCI: 60 its, double mCherry 610))","Centroid X (µm)","Centroid Y (µm)","Centroid Z (µm)","Item Name","Population","Type","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Number of contained Mito","Compartment ROIs ID"
"ROIs 1","1","173.01","555","966","728.77","1.06e+08","49.83","188","426","257.88","37469771","23.79","324.63","2519.55","736.54","1.07e+08","146.54","157.15","1516.79","261.03","37926992","64.61","N/A","N/A","N/A","GTY030 36C 6","ROIs","Object","1524","2813","2033.67","14070964","238.79","1893","3584","2583.98","17878572","302.49","3","N/A"
"Mito 14","16","1.22","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","468.11","2181.88","1148.44","1173709.25","300.99","N/A","N/A","N/A","N/A","N/A","63.35","51.47","2.79","GTY030 36C 6","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 15","17","0.966","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","637.93","1774.23","1114.4","903779.44","210.53","N/A","N/A","N/A","N/A","N/A","61.53","53.74","2.38","GTY030 36C 6","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 23","25","0.149","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","604.87","1883.27","1107.37","138421.52","324.06","N/A","N/A","N/A","N/A","N/A","64.18","52.83","3.72","GTY030 36C 6","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"ROIs 2","2","2.1","624","864","751.29","1325273","33.31","203","319","256.51","452478","18.59","405.19","1246.87","757.32","1335903.88","109.9","193.48","317.32","241.97","426832.38","23.19","N/A","N/A","N/A","GTY030 36C 6","ROIs","Object","1865","2261","2038.86","171264","98.66","2333","2804","2569.17","215810","113.12","0","N/A"
