filename,Name,ID,Volume (µm³),Min (roGFP 470),Max (roGFP 470),Mean (roGFP 470),Sum (roGFP 470),Standard Deviation (roGFP 470),Min (mCherry double),Max (mCherry double),Mean (mCherry double),Sum (mCherry double),Standard Deviation (mCherry double),"Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))",Centroid X (µm),Centroid Y (µm),Centroid Z (µm),Item Name,Population,Type,"Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))",Number of contained Mito,Compartment ROIs ID,"Min (roGFP 470 (DCI: 30 its, roGFP 470))","Max (roGFP 470 (DCI: 30 its, roGFP 470))","Mean (roGFP 470 (DCI: 30 its, roGFP 470))","Sum (roGFP 470 (DCI: 30 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 30 its, roGFP 470))","Min (mCherry double (DCI: 30 its, mCherry double))","Max (mCherry double (DCI: 30 its, mCherry double))","Mean (mCherry double (DCI: 30 its, mCherry double))","Sum (mCherry double (DCI: 30 its, mCherry double))","Standard Deviation (mCherry double (DCI: 30 its, mCherry double))",Min (roGFP 470 (Red)),Max (roGFP 470 (Red)),Mean (roGFP 470 (Red)),Sum (roGFP 470 (Red)),Standard Deviation (roGFP 470 (Red)),Min (roGFP 470 (Green)),Max (roGFP 470 (Green)),Mean (roGFP 470 (Green)),Sum (roGFP 470 (Green)),Standard Deviation (roGFP 470 (Green)),Min (roGFP 470 (Blue)),Max (roGFP 470 (Blue)),Mean (roGFP 470 (Blue)),Sum (roGFP 470 (Blue)),Standard Deviation (roGFP 470 (Blue))
PSY106 clump 25C 01 m-35.csv,Mito 13,14,0.395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,605.26,1618.26,930.93,309067.59,223.01,18.94,34.15,1.95,PSY106 clump 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSY106 clump 25C 01 m-35.csv,Mito 14,15,0.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,756.08,1281.32,956.91,94734.37,130.05,22.67,33.96,1.92,PSY106 clump 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSY106 clump 25C 01 m-35.csv,Mito 22,23,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,424.28,2082.05,978.67,888631.81,291.73,16.28,34.6,2.85,PSY106 clump 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSY106 clump 25C 01 m-35.csv,Mito 23,24,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,389.88,2370.97,882.93,1374721.63,276.2,23.02,34.91,2.64,PSY106 clump 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSY106 clump 25C 01 m-35.csv,Mito 24,25,0.563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,481.7,1375.76,798.22,377557.91,162.24,20.8,36.51,3.13,PSY106 clump 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSY106 clump 25C 01 m-50.csv,ROIs 1,1,342.86,433,894,631.79,182000000,58.39,210,1413,354.08,102000000,86.49,261.85,2573.02,631.07,182000000,159.12,NA,NA,NA,PSY106 clump 25C,ROIs,Object,4.45,15144.58,367.68,106000000,513.17,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSY106 clump 25C 01 m-50.csv,Mito 2,3,0.326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,549.21,1496.38,933.52,255783.14,195.79,22.38,36.98,1.69,PSY106 clump 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSY106 clump 25C 01 m-50.csv,Mito 7,8,0.163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,730.75,1300.99,951.12,130303.2,129.72,22.65,33.96,1.9,PSY106 clump 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSY106 clump 25C 01 m-50.csv,Mito 11,12,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,349.66,2370.97,871.77,1755739.5,277.58,23.01,34.88,2.65,PSY106 clump 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSY106 clump 25C 01 m-50.csv,Mito 12,13,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,535.77,1624.06,931.32,406984.75,226.72,18.94,34.16,1.94,PSY106 clump 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSY106 clump 25C 01 m-50.csv,Mito 21,22,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,413.07,2082.05,967.6,1093390.38,295.99,16.29,34.58,2.86,PSY106 clump 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSY106 clump 25C 01 m-50.csv,Mito 22,23,0.761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480.43,1395.24,795.57,508371.22,165.99,20.81,36.51,3.11,PSY106 clump 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSY106 clump 25C 02 m-25.csv,ROIs 1,1,366.47,449,1818,694.78,214000000,85.14,221,2499,417.74,129000000,153.64,202.44,22817.37,696.12,214000000,282.25,NA,NA,NA,PSY106 clump 25C,ROIs,Object,1.46,23867.49,438.25,135000000,787.08,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSY106 clump 25C 02 m-25.csv,Mito 7,8,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,314.07,15264.3,1202.15,1144443.88,1356.2,73.67,58.74,2.47,PSY106 clump 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSY106 clump 25C 02 m-25.csv,Mito 8,9,1.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,430.17,22471.37,1262.71,2062010.75,903.17,66.21,59.05,2.3,PSY106 clump 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSY106 clump 25C 02 m-25.csv,Mito 9,10,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,632.54,2405.94,1042.99,967893.06,220.07,69.17,59.3,2.07,PSY106 clump 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSY106 clump 25C 02 m-25.csv,Mito 10,11,0.129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,699.73,5005.99,1080.68,116713.79,466.27,72.45,61.79,1.82,PSY106 clump 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
